795060177977800101                                              131119    57343Alameda County (North)--Berkeley & Albany Cities PUMA                                                                                                                      
79606017797780010100101675839                                   131119    57343Alameda County (part)                                                                                                                                                      
79806017797780010100101675839             0067402409674          18539     7889Albany city (part)                                                                                                                                                         
79906017797780010100101675839             0067402409674420100     2355      926Census Tract 4201                                                                                                                                                          
79906017797780010100101675839             0067402409674420200     2898     1307Census Tract 4202                                                                                                                                                          
79906017797780010100101675839             0067402409674420300     4571     2140Census Tract 4203                                                                                                                                                          
79906017797780010100101675839             0067402409674420400     3124     1185Census Tract 4204                                                                                                                                                          
79906017797780010100101675839             0067402409674420500     2308      995Census Tract 4205                                                                                                                                                          
79906017797780010100101675839             0067402409674420600     3283     1336Census Tract 4206                                                                                                                                                          
79806017797780010100101675839             0600002409837         112580    49454Berkeley city (part)                                                                                                                                                       
79906017797780010100101675839             0600002409837421100     1992      886Census Tract 4211                                                                                                                                                          
79906017797780010100101675839             0600002409837421200     3563     1547Census Tract 4212                                                                                                                                                          
79906017797780010100101675839             0600002409837421300     3844     1750Census Tract 4213                                                                                                                                                          
79906017797780010100101675839             0600002409837421400     1593      695Census Tract 4214                                                                                                                                                          
79906017797780010100101675839             0600002409837421500     3640     1647Census Tract 4215                                                                                                                                                          
79906017797780010100101675839             0600002409837421600     3558     1707Census Tract 4216                                                                                                                                                          
79906017797780010100101675839             0600002409837421700     3198     1679Census Tract 4217                                                                                                                                                          
79906017797780010100101675839             0600002409837421800     2007      931Census Tract 4218                                                                                                                                                          
79906017797780010100101675839             0600002409837421900     3632     1792Census Tract 4219                                                                                                                                                          
79906017797780010100101675839             0600002409837422000     1756      729Census Tract 4220                                                                                                                                                          
79906017797780010100101675839             0600002409837422100     2685     1255Census Tract 4221                                                                                                                                                          
79906017797780010100101675839             0600002409837422200     3144     1629Census Tract 4222                                                                                                                                                          
79906017797780010100101675839             0600002409837422300     3387     1802Census Tract 4223                                                                                                                                                          
79906017797780010100101675839             0600002409837422400     4196     2378Census Tract 4224                                                                                                                                                          
79906017797780010100101675839             0600002409837422500     4658     1711Census Tract 4225                                                                                                                                                          
79906017797780010100101675839             0600002409837422600     1215       14Census Tract 4226                                                                                                                                                          
79906017797780010100101675839             0600002409837422700     4885     1383Census Tract 4227                                                                                                                                                          
79906017797780010100101675839             0600002409837422800     8368     1691Census Tract 4228                                                                                                                                                          
79906017797780010100101675839             0600002409837422900     4336     2171Census Tract 4229                                                                                                                                                          
79906017797780010100101675839             0600002409837423000     4396     2208Census Tract 4230                                                                                                                                                          
79906017797780010100101675839             0600002409837423100     3964     1967Census Tract 4231                                                                                                                                                          
79906017797780010100101675839             0600002409837423200     2794     1168Census Tract 4232                                                                                                                                                          
79906017797780010100101675839             0600002409837423300     3647     1745Census Tract 4233                                                                                                                                                          
79906017797780010100101675839             0600002409837423400     4685     2196Census Tract 4234                                                                                                                                                          
79906017797780010100101675839             0600002409837423500     3118     1577Census Tract 4235                                                                                                                                                          
79906017797780010100101675839             0600002409837423601     2642     1321Census Tract 4236.01                                                                                                                                                       
79906017797780010100101675839             0600002409837423602     5659     2716Census Tract 4236.02                                                                                                                                                       
79906017797780010100101675839             0600002409837423700     3633     1501Census Tract 4237                                                                                                                                                          
79906017797780010100101675839             0600002409837423800     2925     1324Census Tract 4238                                                                                                                                                          
79906017797780010100101675839             0600002409837423901     2020      950Census Tract 4239.01                                                                                                                                                       
79906017797780010100101675839             0600002409837423902     1552      801Census Tract 4239.02                                                                                                                                                       
79906017797780010100101675839             0600002409837424001     3716     1585Census Tract 4240.01                                                                                                                                                       
79906017797780010100101675839             0600002409837424002     2172      998Census Tract 4240.02                                                                                                                                                       
795060177977800102                                              158091    78316Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA                                                                                                   
79606017797780010200101675839                                   158091    78316Alameda County (part)                                                                                                                                                      
79806017797780010200101675839             2259402410436          10080     6646Emeryville city (part)                                                                                                                                                     
79906017797780010200101675839             2259402410436425101     1596     1293Census Tract 4251.01                                                                                                                                                       
79906017797780010200101675839             2259402410436425102     2807     1893Census Tract 4251.02                                                                                                                                                       
79906017797780010200101675839             2259402410436425103     2502     1424Census Tract 4251.03                                                                                                                                                       
79906017797780010200101675839             2259402410436425104     3175     2036Census Tract 4251.04                                                                                                                                                       
79806017797780010200101675839             5300002411292         148011    71670Oakland city (part)                                                                                                                                                        
79906017797780010200101675839             5300002411292400400     3703     1903Census Tract 4004                                                                                                                                                          
79906017797780010200101675839             5300002411292400500     3517     1684Census Tract 4005                                                                                                                                                          
79906017797780010200101675839             5300002411292400600     1571      757Census Tract 4006                                                                                                                                                          
79906017797780010200101675839             5300002411292400700     4206     1929Census Tract 4007                                                                                                                                                          
79906017797780010200101675839             5300002411292400800     3594     1733Census Tract 4008                                                                                                                                                          
79906017797780010200101675839             5300002411292400900     2302     1153Census Tract 4009                                                                                                                                                          
79906017797780010200101675839             5300002411292401000     5678     2658Census Tract 4010                                                                                                                                                          
79906017797780010200101675839             5300002411292401300     3528     1839Census Tract 4013                                                                                                                                                          
79906017797780010200101675839             5300002411292401400     4314     1764Census Tract 4014                                                                                                                                                          
79906017797780010200101675839             5300002411292401500     2630     1244Census Tract 4015                                                                                                                                                          
79906017797780010200101675839             5300002411292401600     2163      919Census Tract 4016                                                                                                                                                          
79906017797780010200101675839             5300002411292401700     2667     1310Census Tract 4017                                                                                                                                                          
