795100177978100101                                              108214    48254New Castle County (East Central)--Wilmington City PUMA                                                                                                                     
79610017797810010100300217270                                   108214    48254New Castle County (part)                                                                                                                                                   
79810017797810010100300217270             2454002390170           6131     2664Elsmere town                                                                                                                                                               
79910017797810010100300217270             2454002390170012300     2611     1207Census Tract 123                                                                                                                                                           
79910017797810010100300217270             2454002390170012400     3520     1457Census Tract 124 (part)                                                                                                                                                    
79810017797810010100300217270             5119002391329           1055      465Newport town                                                                                                                                                               
79910017797810010100300217270             5119002391329012700      583      246Census Tract 127 (part)                                                                                                                                                    
79910017797810010100300217270             5119002391329012900      472      219Census Tract 129 (part)                                                                                                                                                    
79810017797810010100300217270             7758002390676          70851    32820Wilmington city (part)                                                                                                                                                     
79910017797810010100300217270             7758002390676000200     5438     2352Census Tract 2                                                                                                                                                             
79910017797810010100300217270             7758002390676000300     3194     1317Census Tract 3                                                                                                                                                             
79910017797810010100300217270             7758002390676000400     2956     1601Census Tract 4                                                                                                                                                             
79910017797810010100300217270             7758002390676000500     3647     1534Census Tract 5                                                                                                                                                             
79910017797810010100300217270             7758002390676000601     2910     1025Census Tract 6.01                                                                                                                                                          
79910017797810010100300217270             7758002390676000602     2649     1322Census Tract 6.02                                                                                                                                                          
79910017797810010100300217270             7758002390676000900     2223      990Census Tract 9                                                                                                                                                             
79910017797810010100300217270             7758002390676001100     3260     2497Census Tract 11                                                                                                                                                            
79910017797810010100300217270             7758002390676001200     1529      864Census Tract 12                                                                                                                                                            
79910017797810010100300217270             7758002390676001300     3468     1852Census Tract 13                                                                                                                                                            
79910017797810010100300217270             7758002390676001400     2152     1050Census Tract 14                                                                                                                                                            
79910017797810010100300217270             7758002390676001500     2303     1202Census Tract 15                                                                                                                                                            
79910017797810010100300217270             7758002390676001600     2387     1162Census Tract 16                                                                                                                                                            
79910017797810010100300217270             7758002390676001902     1918     1032Census Tract 19.02                                                                                                                                                         
79910017797810010100300217270             7758002390676002100     1847      937Census Tract 21                                                                                                                                                            
79910017797810010100300217270             7758002390676002200     3271     1086Census Tract 22                                                                                                                                                            
79910017797810010100300217270             7758002390676002300     3197     1242Census Tract 23                                                                                                                                                            
79910017797810010100300217270             7758002390676002400     4671     2236Census Tract 24                                                                                                                                                            
79910017797810010100300217270             7758002390676002500     3039     1350Census Tract 25                                                                                                                                                            
79910017797810010100300217270             7758002390676002600     3922     1486Census Tract 26                                                                                                                                                            
79910017797810010100300217270             7758002390676002700     2108      844Census Tract 27                                                                                                                                                            
79910017797810010100300217270             7758002390676002800     1917     1401Census Tract 28                                                                                                                                                            
79910017797810010100300217270             7758002390676002900     3570     1728Census Tract 29                                                                                                                                                            
79910017797810010100300217270             7758002390676003002     3275      710Census Tract 30.02                                                                                                                                                         
79910017797810010100300217270             7758002390676012900        0        0Census Tract 129 (part)                                                                                                                                                    
79910017797810010100300217270             7758002390676980100        0        0Census Tract 9801                                                                                                                                                          
79810017797810010100300217270             9999999999999          30177    12305Remainder of New Castle County (part)                                                                                                                                      
79910017797810010100300217270             9999999999999012200     4447     1847Census Tract 122                                                                                                                                                           
79910017797810010100300217270             9999999999999012400     1082      457Census Tract 124 (part)                                                                                                                                                    
79910017797810010100300217270             9999999999999012500     5410     2310Census Tract 125                                                                                                                                                           
79910017797810010100300217270             9999999999999012600     2776     1102Census Tract 126                                                                                                                                                           
79910017797810010100300217270             9999999999999012700     3838     1708Census Tract 127 (part)                                                                                                                                                    
79910017797810010100300217270             9999999999999012900     4248     1798Census Tract 129 (part)                                                                                                                                                    
79910017797810010100300217270             9999999999999015400     3190     1119Census Tract 154                                                                                                                                                           
79910017797810010100300217270             9999999999999015502     2848     1086Census Tract 155.02                                                                                                                                                        
79910017797810010100300217270             9999999999999015600     2338      878Census Tract 156                                                                                                                                                           
795100177978100102                                              145071    61909New Castle County (North)--Hockessin PUMA                                                                                                                                  
79610017797810010200300217270                                   145071    61909New Castle County (part)                                                                                                                                                   
79810017797810010200300217270             0140002391520            439      243Arden village                                                                                                                                                              
79910017797810010200300217270             0140002391520011100      439      243Census Tract 111 (part)                                                                                                                                                    
79810017797810010200300217270             0153002391521            231      102Ardencroft village                                                                                                                                                         
79910017797810010200300217270             0153002391521011100      231      102Census Tract 111 (part)                                                                                                                                                    
79810017797810010200300217270             0166002391522            264      166Ardentown village                                                                                                                                                          
79910017797810010200300217270             0166002391522011100      259      164Census Tract 111 (part)                                                                                                                                                    
79910017797810010200300217270             0166002391522011204        5        2Census Tract 112.04 (part)                                                                                                                                                 
79810017797810010200300217270             0465002390721           1193      560Bellefonte town                                                                                                                                                            
79910017797810010200300217270             0465002390721010502     1193      560Census Tract 105.02 (part)                                                                                                                                                 
79810017797810010200300217270             1531002389327           8253     3664Claymont CDP                                                                                                                                                               
79910017797810010200300217270             1531002389327010101      816      310Census Tract 101.01 (part)                                                                                                                                                 
79910017797810010200300217270             1531002389327010104     2918     1529Census Tract 101.04 (part)                                                                                                                                                 
79910017797810010200300217270             1531002389327010300     2861     1129Census Tract 103 (part)                                                                                                                                                    
79910017797810010200300217270             1531002389327010400     1658      696Census Tract 104 (part)                                                                                                                                                    
79810017797810010200300217270             2324002389027           5677     2968Edgemoor CDP                                                                                                                                                               
79910017797810010200300217270             2324002389027010502      683      300Census Tract 105.02 (part)                                                                                                                                                 
79910017797810010200300217270             2324002389027010702     4994     2668Census Tract 107.02                                                                                                                                                        
79810017797810010200300217270             3143002389880           2326     1395Greenville CDP                                                                                                                                                             
79910017797810010200300217270             3143002389880011800     1299      957Census Tract 118 (part)                                                                                                                                                    
79910017797810010200300217270             3143002389880011900     1027      438Census Tract 119 (part)                                                                                                                                                    
79810017797810010200300217270             3585002389937          13527     4950Hockessin CDP                                                                                                                                                              
79910017797810010200300217270             3585002389937013501     4213     1735Census Tract 135.01 (part)                                                                                                                                                 
79910017797810010200300217270             3585002389937013503     7472     2687Census Tract 135.03                                                                                                                                                        
79910017797810010200300217270             3585002389937013612     1842      528Census Tract 136.12 (part)                                                                                                                                                 
79810017797810010200300217270             5249002389585           7980     2794North Star CDP                                                                                                                                                             
79910017797810010200300217270             5249002389585013505     3147     1151Census Tract 135.05                                                                                                                                                        
79910017797810010200300217270             5249002389585013506     4833     1643Census Tract 135.06                                                                                                                                                        
79810017797810010200300217270             5649002389667           7364     3047Pike Creek CDP (part)                                                                                                                                                      
79910017797810010200300217270             5649002389667013607     1316      645Census Tract 136.07 (part)                                                                                                                                                 
79910017797810010200300217270             5649002389667013612     4291     1717Census Tract 136.12 (part)                                                                                                                                                 
79910017797810010200300217270             5649002389667013613     1757      685Census Tract 136.13 (part)                                                                                                                                                 
79810017797810010200300217270             5650002583320           6080     2887Pike Creek Valley CDP (part)                                                                                                                                               
79910017797810010200300217270             5650002583320013604      833      321Census Tract 136.04 (part)                                                                                                                                                 
79910017797810010200300217270             5650002583320013607     4585     2332Census Tract 136.07 (part)                                                                                                                                                 
79910017797810010200300217270             5650002583320013612       27       15Census Tract 136.12 (part)                                                                                                                                                 
79910017797810010200300217270             5650002583320013613      635      219Census Tract 136.13 (part)                                                                                                                                                 
79810017797810010200300217270             9999999999999          91737    39133Remainder of New Castle County (part)                                                                                                                                      
79910017797810010200300217270             9999999999999010101     3757     1899Census Tract 101.01 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999010104      504      211Census Tract 101.04 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999010200     1982      766Census Tract 102                                                                                                                                                           
79910017797810010200300217270             9999999999999010300        0        0Census Tract 103 (part)                                                                                                                                                    
79910017797810010200300217270             9999999999999010400     2832     1332Census Tract 104 (part)                                                                                                                                                    
79910017797810010200300217270             9999999999999010502     3703     1850Census Tract 105.02 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999010800     4631     2051Census Tract 108                                                                                                                                                           
79910017797810010200300217270             9999999999999010900     2745     1138Census Tract 109                                                                                                                                                           
79910017797810010200300217270             9999999999999011000     3163     1281Census Tract 110                                                                                                                                                           
79910017797810010200300217270             9999999999999011100     1744      716Census Tract 111 (part)                                                                                                                                                    
79910017797810010200300217270             9999999999999011201     2246      894Census Tract 112.01                                                                                                                                                        
79910017797810010200300217270             9999999999999011202     3902     1542Census Tract 112.02                                                                                                                                                        
79910017797810010200300217270             9999999999999011203     4605     2142Census Tract 112.03                                                                                                                                                        
79910017797810010200300217270             9999999999999011204     3304     1454Census Tract 112.04 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999011205     2024      766Census Tract 112.05                                                                                                                                                        
79910017797810010200300217270             9999999999999011206     4187     1637Census Tract 112.06                                                                                                                                                        
79910017797810010200300217270             9999999999999011300     2367     1022Census Tract 113                                                                                                                                                           
79910017797810010200300217270             9999999999999011400     3358     1414Census Tract 114                                                                                                                                                           
79910017797810010200300217270             9999999999999011500     2816     1257Census Tract 115                                                                                                                                                           
79910017797810010200300217270             9999999999999011600     3281     1391Census Tract 116                                                                                                                                                           
79910017797810010200300217270             9999999999999011700     3974     1809Census Tract 117                                                                                                                                                           
79910017797810010200300217270             9999999999999011800     2878     1347Census Tract 118 (part)                                                                                                                                                    
79910017797810010200300217270             9999999999999011900     2311      883Census Tract 119 (part)                                                                                                                                                    
79910017797810010200300217270             9999999999999012000     4419     1855Census Tract 120                                                                                                                                                           
79910017797810010200300217270             9999999999999012100     3152     1271Census Tract 121                                                                                                                                                           
79910017797810010200300217270             9999999999999013200     2697     1048Census Tract 132                                                                                                                                                           
79910017797810010200300217270             9999999999999013300     1867      778Census Tract 133                                                                                                                                                           
79910017797810010200300217270             9999999999999013400     2605     1090Census Tract 134                                                                                                                                                           
79910017797810010200300217270             9999999999999013501     2389      846Census Tract 135.01 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999013604     3241     1343Census Tract 136.04 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999013607       28        8Census Tract 136.07 (part)                                                                                                                                                 
79910017797810010200300217270             9999999999999013608     1891      799Census Tract 136.08                                                                                                                                                        
79910017797810010200300217270             9999999999999013613     3134     1293Census Tract 136.13 (part)                                                                                                                                                 
795100177978100103                                              144597    56411New Castle County (West Central)--Newark City & Brookside PUMA                                                                                                             
79610017797810010300300217270                                   144597    56411New Castle County (part)                                                                                                                                                   
79810017797810010300300217270             0413002389183           6701     2230Bear CDP (part)                                                                                                                                                            
79910017797810010300300217270             0413002389183014903     6701     2230Census Tract 149.03 (part)                                                                                                                                                 
79810017797810010300300217270             0985002389250          14353     5543Brookside CDP                                                                                                                                                              
79910017797810010300300217270             0985002389250014100     4857     1873Census Tract 141                                                                                                                                                           
79910017797810010300300217270             0985002389250014703     4080     1573Census Tract 147.03 (part)                                                                                                                                                 
79910017797810010300300217270             0985002389250014705     5416     2097Census Tract 147.05                                                                                                                                                        
79810017797810010300300217270             5067002390628          31449    10473Newark city (part)                                                                                                                                                         
79910017797810010300300217270             5067002390628013610     2896     1170Census Tract 136.10 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014200      584      250Census Tract 142 (part)                                                                                                                                                    
79910017797810010300300217270             5067002390628014300     5830     1152Census Tract 143 (part)                                                                                                                                                    
79910017797810010300300217270             5067002390628014402     3220     1498Census Tract 144.02                                                                                                                                                        
79910017797810010300300217270             5067002390628014403     4960     1513Census Tract 144.03 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014404     3251     1425Census Tract 144.04 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014501     2113      905Census Tract 145.01                                                                                                                                                        
79910017797810010300300217270             5067002390628014502     6439     1427Census Tract 145.02 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014702      600      247Census Tract 147.02 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014703      640      435Census Tract 147.03 (part)                                                                                                                                                 
79910017797810010300300217270             5067002390628014803      916      451Census Tract 148.03 (part)                                                                                                                                                 
79810017797810010300300217270             5080002390625              4        1New Castle city (part)                                                                                                                                                     
79910017797810010300300217270             5080002390625015000        4        1Census Tract 150 (part)                                                                                                                                                    
79810017797810010300300217270             5649002389667            534      174Pike Creek CDP (part)                                                                                                                                                      
79910017797810010300300217270             5649002389667013611      534      174Census Tract 136.11 (part)                                                                                                                                                 
79810017797810010300300217270             5650002583320           5137     2357Pike Creek Valley CDP (part)                                                                                                                                               
79910017797810010300300217270             5650002583320013611     5137     2357Census Tract 136.11 (part)                                                                                                                                                 
79810017797810010300300217270             7784002390521           4611     1749Wilmington Manor CDP (part)                                                                                                                                                
79910017797810010300300217270             7784002390521015200     4611     1749Census Tract 152 (part)                                                                                                                                                    
79810017797810010300300217270             9999999999999          81808    33884Remainder of New Castle County (part)                                                                                                                                      
79910017797810010300300217270             9999999999999013000     1823      764Census Tract 130                                                                                                                                                           
79910017797810010300300217270             9999999999999013100     2602     1062Census Tract 131                                                                                                                                                           
79910017797810010300300217270             9999999999999013610     3231     1120Census Tract 136.10 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999013611       82       33Census Tract 136.11 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999013614     3132     1349Census Tract 136.14                                                                                                                                                        
79910017797810010300300217270             9999999999999013615     3710     1998Census Tract 136.15                                                                                                                                                        
79910017797810010300300217270             9999999999999013700     3904     1659Census Tract 137                                                                                                                                                           
79910017797810010300300217270             9999999999999013800     5464     2255Census Tract 138                                                                                                                                                           
79910017797810010300300217270             9999999999999013901     2833     1133Census Tract 139.01                                                                                                                                                        
79910017797810010300300217270             9999999999999013903     4983     1671Census Tract 139.03                                                                                                                                                        
79910017797810010300300217270             9999999999999013904     7780     3199Census Tract 139.04                                                                                                                                                        
79910017797810010300300217270             9999999999999014000     5276     2368Census Tract 140                                                                                                                                                           
79910017797810010300300217270             9999999999999014200     1043      414Census Tract 142 (part)                                                                                                                                                    
79910017797810010300300217270             9999999999999014300     1179      476Census Tract 143 (part)                                                                                                                                                    
79910017797810010300300217270             9999999999999014403      277      172Census Tract 144.03 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014404      222       93Census Tract 144.04 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014502        0        0Census Tract 145.02 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014702     1327      478Census Tract 147.02 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014803     3011     1386Census Tract 148.03 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014903      432      147Census Tract 149.03 (part)                                                                                                                                                 
79910017797810010300300217270             9999999999999014904     4975     2185Census Tract 149.04                                                                                                                                                        
79910017797810010300300217270             9999999999999014906     4726     2043Census Tract 149.06                                                                                                                                                        
79910017797810010300300217270             9999999999999014907     4843     1964Census Tract 149.07                                                                                                                                                        
79910017797810010300300217270             9999999999999014908     2209     1107Census Tract 149.08                                                                                                                                                        
79910017797810010300300217270             9999999999999014909     6059     2411Census Tract 149.09                                                                                                                                                        
79910017797810010300300217270             9999999999999015000     5367     2138Census Tract 150 (part)                                                                                                                                                    
79910017797810010300300217270             9999999999999015200     1318      259Census Tract 152 (part)                                                                                                                                                    
795100177978100104                                              140597    50937New Castle County (South)--Middletown Town, Bear & Glasgow PUMA                                                                                                            
79610017797810010400300217270                                   140597    50937New Castle County (part)                                                                                                                                                   
79810017797810010400300217270             0413002389183          12670     5266Bear CDP (part)                                                                                                                                                            
79910017797810010400300217270             0413002389183014808     3545     1539Census Tract 148.08 (part)                                                                                                                                                 
79910017797810010400300217270             0413002389183014809     1400      730Census Tract 148.09 (part)                                                                                                                                                 
79910017797810010400300217270             0413002389183016301     4902     2064Census Tract 163.01 (part)                                                                                                                                                 
79910017797810010400300217270             0413002389183016302     2823      933Census Tract 163.02 (part)                                                                                                                                                 
79810017797810010400300217270             1544002390799              0        0Clayton town (part)                                                                                                                                                        
79910017797810010400300217270             1544002390799016901        0        0Census Tract 169.01 (part)                                                                                                                                                 
79810017797810010400300217270             1973002390581           1695      741Delaware City city                                                                                                                                                         
79910017797810010400300217270             1973002390581016404     1695      741Census Tract 164.04 (part)                                                                                                                                                 
79810017797810010400300217270             2935002389845          14303     5290Glasgow CDP                                                                                                                                                                
79910017797810010400300217270             2935002389845014805     4208     1549Census Tract 148.05 (part)                                                                                                                                                 
79910017797810010400300217270             2935002389845014807     2201      734Census Tract 148.07 (part)                                                                                                                                                 
79910017797810010400300217270             2935002389845014808      386      137Census Tract 148.08 (part)                                                                                                                                                 
79910017797810010400300217270             2935002389845014809     2918     1132Census Tract 148.09 (part)                                                                                                                                                 
79910017797810010400300217270             2935002389845014810     4590     1738Census Tract 148.10 (part)                                                                                                                                                 
79810017797810010400300217270             4703002391298          18871     6821Middletown town                                                                                                                                                            
79910017797810010400300217270             4703002391298016601     5494     2262Census Tract 166.01 (part)                                                                                                                                                 
79910017797810010400300217270             4703002391298016602     1639      493Census Tract 166.02 (part)                                                                                                                                                 
79910017797810010400300217270             4703002391298016604    10823     3797Census Tract 166.04 (part)                                                                                                                                                 
