795150177978200100                                              222015   100285Maui, Kalawao & Kauai Counties PUMA                                                                                                                                        
79615017797820010000501702380                                       90      113Kalawao County                                                                                                                                                             
79815017797820010000501702380             9999999999999             90      113Kalawao County                                                                                                                                                             
79915017797820010000501702380             9999999999999031900       90      113Census Tract 319                                                                                                                                                           
79915017797820010000501702380             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79615017797820010000700365282                                    67091    29793Kauai County                                                                                                                                                               
79815017797820010000700365282             0220002413994           2223      754Anahola CDP                                                                                                                                                                
79915017797820010000700365282             0220002413994940000     2223      754Census Tract 9400 (part)                                                                                                                                                   
79815017797820010000700365282             0700002414013           2390      780Eleele CDP                                                                                                                                                                 
79915017797820010000700365282             0700002414013040700     2390      780Census Tract 407 (part)                                                                                                                                                    
79815017797820010000700365282             0895002583417            431      332Haena CDP                                                                                                                                                                  
79915017797820010000700365282             0895002583417040104      431      332Census Tract 401.04 (part)                                                                                                                                                 
79815017797820010000700365282             1150002414031            450      336Hanalei CDP                                                                                                                                                                
79915017797820010000700365282             1150002414031040103        0        0Census Tract 401.03 (part)                                                                                                                                                 
79915017797820010000700365282             1150002414031040104      450      336Census Tract 401.04 (part)                                                                                                                                                 
79815017797820010000700365282             1165002414032           3835     1107Hanamaulu CDP                                                                                                                                                              
79915017797820010000700365282             1165002414032040400     3835     1107Census Tract 404 (part)                                                                                                                                                    
79815017797820010000700365282             1180002414033           2638      934Hanapepe CDP                                                                                                                                                               
79915017797820010000700365282             1180002414033040800     2638      934Census Tract 408 (part)                                                                                                                                                    
79815017797820010000700365282             2495002414060           4595     1819Kalaheo CDP                                                                                                                                                                
79915017797820010000700365282             2495002414060040700     4595     1819Census Tract 407 (part)                                                                                                                                                    
79815017797820010000700365282             2675002414062            428      229Kalihiwai CDP                                                                                                                                                              
79915017797820010000700365282             2675002414062040103      428      229Census Tract 401.03 (part)                                                                                                                                                 
79815017797820010000700365282             2885002414065          10699     4516Kapaa CDP                                                                                                                                                                  
79915017797820010000700365282             2885002414065040204     1415      565Census Tract 402.04 (part)                                                                                                                                                 
79915017797820010000700365282             2885002414065040300     8385     3579Census Tract 403 (part)                                                                                                                                                    
79915017797820010000700365282             2885002414065940000      899      372Census Tract 9400 (part)                                                                                                                                                   
79815017797820010000700365282             3065002414068            749      219Kaumakani CDP                                                                                                                                                              
79915017797820010000700365282             3065002414068040800      749      219Census Tract 408 (part)                                                                                                                                                    
79815017797820010000700365282             3560002414073           3537     1286Kekaha CDP                                                                                                                                                                 
79915017797820010000700365282             3560002414073040900     3537     1286Census Tract 409 (part)                                                                                                                                                    
79815017797820010000700365282             3665002414075           2803     1069Kilauea CDP                                                                                                                                                                
79915017797820010000700365282             3665002414075040103     2803     1069Census Tract 401.03 (part)                                                                                                                                                 
79815017797820010000700365282             3920002414077           2144      814Koloa CDP                                                                                                                                                                  
79915017797820010000700365282             3920002414077040603     1703      627Census Tract 406.03 (part)                                                                                                                                                 
79915017797820010000700365282             3920002414077040604      441      187Census Tract 406.04 (part)                                                                                                                                                 
79815017797820010000700365282             4445002414086           2363      959Lawai CDP                                                                                                                                                                  
79915017797820010000700365282             4445002414086040604     1229      509Census Tract 406.04 (part)                                                                                                                                                 
79915017797820010000700365282             4445002414086040700     1134      450Census Tract 407 (part)                                                                                                                                                    
79815017797820010000700365282             4520002414088           6455     2601Lihue CDP                                                                                                                                                                  
79915017797820010000700365282             4520002414088040400      512      181Census Tract 404 (part)                                                                                                                                                    
79915017797820010000700365282             4520002414088040500     5943     2420Census Tract 405 (part)                                                                                                                                                    
79815017797820010000700365282             5780002414111           1301      493Omao CDP                                                                                                                                                                   
79915017797820010000700365282             5780002414111040604     1295      491Census Tract 406.04 (part)                                                                                                                                                 
79915017797820010000700365282             5780002414111040700        6        2Census Tract 407 (part)                                                                                                                                                    
79815017797820010000700365282             6035002414118            294      150Pakala Village CDP                                                                                                                                                         
79915017797820010000700365282             6035002414118040800      294      150Census Tract 408 (part)                                                                                                                                                    
