795160177978300100                                              115988    62041Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties PUMA                                                                                            
79616017797830010000900395190                                     9285     4629Benewah County                                                                                                                                                             
79816017797830010000900395190             2152002583435            175       59De Smet CDP                                                                                                                                                                
79916017797830010000900395190             2152002583435940000      175       59Census Tract 9400 (part)                                                                                                                                                   
79816017797830010000900395190             6089002611709             80       41Parkline CDP                                                                                                                                                               
79916017797830010000900395190             6089002611709940000       80       41Census Tract 9400 (part)                                                                                                                                                   
79816017797830010000900395190             6391002411445           1044      405Plummer city                                                                                                                                                               
79916017797830010000900395190             6391002411445940000     1044      405Census Tract 9400 (part)                                                                                                                                                   
79816017797830010000900395190             7147002411762           2402     1092St. Maries city                                                                                                                                                            
79916017797830010000900395190             7147002411762940000      632      284Census Tract 9400 (part)                                                                                                                                                   
79916017797830010000900395190             7147002411762950100     1770      808Census Tract 9501 (part)                                                                                                                                                   
79816017797830010000900395190             8020002412049            123       69Tensed city                                                                                                                                                                
79916017797830010000900395190             8020002412049940000      123       69Census Tract 9400 (part)                                                                                                                                                   
79816017797830010000900395190             9999999999999           5461     2963Remainder of Benewah County                                                                                                                                                
79916017797830010000900395190             9999999999999940000     2482     1408Census Tract 9400 (part)                                                                                                                                                   
79916017797830010000900395190             9999999999999950100     2979     1555Census Tract 9501 (part)                                                                                                                                                   
79616017797830010001700395158                                    40877    24669Bonner County                                                                                                                                                              
79816017797830010001700395158             0829002585568            261      407Blanchard CDP                                                                                                                                                              
79916017797830010001700395158             0829002585568950700      261      407Census Tract 9507 (part)                                                                                                                                                   
79816017797830010001700395158             1495002409468            536      308Clark Fork city                                                                                                                                                            
79916017797830010001700395158             1495002409468950100      536      308Census Tract 9501 (part)                                                                                                                                                   
79816017797830010001700395158             2251002410351            556      327Dover city                                                                                                                                                                 
79916017797830010001700395158             2251002410351950400      556      327Census Tract 9504 (part)                                                                                                                                                   
79816017797830010001700395158             2368002410387            210      181East Hope city                                                                                                                                                             
79916017797830010001700395158             2368002410387950100      210      181Census Tract 9501 (part)                                                                                                                                                   
79816017797830010001700395158             3844002410791             86       59Hope city                                                                                                                                                                  
79916017797830010001700395158             3844002410791950100       86       59Census Tract 9501 (part)                                                                                                                                                   
79816017797830010001700395158             4420002411557            678      284Kootenai city                                                                                                                                                              
79916017797830010001700395158             4420002411557950200      678      284Census Tract 9502 (part)                                                                                                                                                   
79816017797830010001700395158             5860002411314            184      109Oldtown city                                                                                                                                                               
79916017797830010001700395158             5860002411314950500       28       25Census Tract 9505 (part)                                                                                                                                                   
79916017797830010001700395158             5860002411314950700      156       84Census Tract 9507 (part)                                                                                                                                                   
79816017797830010001700395158             6445002411457           1137      622Ponderay city                                                                                                                                                              
79916017797830010001700395158             6445002411457950200     1137      622Census Tract 9502 (part)                                                                                                                                                   
79816017797830010001700395158             6553002411492           1751      798Priest River city                                                                                                                                                          
79916017797830010001700395158             6553002411492950500     1751      798Census Tract 9505 (part)                                                                                                                                                   
79916017797830010001700395158             6553002411492950700        0        0Census Tract 9507 (part)                                                                                                                                                   
79816017797830010001700395158             7210002411808           7365     3769Sandpoint city                                                                                                                                                             
79916017797830010001700395158             7210002411808950200      623      273Census Tract 9502 (part)                                                                                                                                                   
79916017797830010001700395158             7210002411808950300     3367     1827Census Tract 9503 (part)                                                                                                                                                   
79916017797830010001700395158             7210002411808950400     3375     1669Census Tract 9504 (part)                                                                                                                                                   
79816017797830010001700395158             9999999999999          28113    17805Remainder of Bonner County                                                                                                                                                 
79916017797830010001700395158             9999999999999950100     1566     1383Census Tract 9501 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950200     6039     2987Census Tract 9502 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950300        0        0Census Tract 9503 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950400     2926     2160Census Tract 9504 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950500     1574      843Census Tract 9505 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950600     1940     2978Census Tract 9506                                                                                                                                                          
79916017797830010001700395158             9999999999999950700     4027     1972Census Tract 9507 (part)                                                                                                                                                   
79916017797830010001700395158             9999999999999950800     5763     2883Census Tract 9508                                                                                                                                                          
79916017797830010001700395158             9999999999999950900     4278     2599Census Tract 9509                                                                                                                                                          
79616017797830010002100395159                                    10972     5175Boundary County                                                                                                                                                            
79816017797830010002100395159             0937002409879           2543     1254Bonners Ferry city                                                                                                                                                         
79916017797830010002100395159             0937002409879970100      836      427Census Tract 9701 (part)                                                                                                                                                   
79916017797830010002100395159             0937002409879970200     1707      827Census Tract 9702 (part)                                                                                                                                                   
79816017797830010002100395159             5527002411189            718      297Moyie Springs city                                                                                                                                                         
79916017797830010002100395159             5527002411189970100      718      297Census Tract 9701 (part)                                                                                                                                                   
79816017797830010002100395159             9999999999999           7711     3624Remainder of Boundary County                                                                                                                                               
79916017797830010002100395159             9999999999999970100     4093     1900Census Tract 9701 (part)                                                                                                                                                   
79916017797830010002100395159             9999999999999970200     3618     1724Census Tract 9702 (part)                                                                                                                                                   
79616017797830010005500395661                                     4845     4519Kootenai County (part)                                                                                                                                                     
79816017797830010005500395661             1783002585569             43      171Conkling Park CDP                                                                                                                                                          
79916017797830010005500395661             1783002585569940000       43      171Census Tract 9400 (part)                                                                                                                                                   
79816017797830010005500395661             3520002410708            203      165Harrison city                                                                                                                                                              
79916017797830010005500395661             3520002410708001900      201      160Census Tract 19 (part)                                                                                                                                                     
79916017797830010005500395661             3520002410708940000        2        5Census Tract 9400 (part)                                                                                                                                                   
79816017797830010005500395661             6895002585592            184      455Rockford Bay CDP                                                                                                                                                           
79916017797830010005500395661             6895002585592940000      184      455Census Tract 9400 (part)                                                                                                                                                   
79816017797830010005500395661             8848002412309            257      116Worley city                                                                                                                                                                
79916017797830010005500395661             8848002412309940000      257      116Census Tract 9400 (part)                                                                                                                                                   
79816017797830010005500395661             9999999999999           4158     3612Remainder of Kootenai County (part)                                                                                                                                        
79916017797830010005500395661             9999999999999001900     2420     2115Census Tract 19 (part)                                                                                                                                                     
79916017797830010005500395661             9999999999999940000     1738     1497Census Tract 9400 (part)                                                                                                                                                   
79616017797830010005700395613                                    37244    15988Latah County                                                                                                                                                               
79816017797830010005700395613             0973002409886            260      127Bovill city                                                                                                                                                                
79916017797830010005700395613             0973002409886005600      260      127Census Tract 56 (part)                                                                                                                                                     
79816017797830010005700395613             2089002410306            506      221Deary city                                                                                                                                                                 
79916017797830010005700395613             2089002410306005600      506      221Census Tract 56 (part)                                                                                                                                                     
79816017797830010005700395613             3016002410580            955      400Genesee city                                                                                                                                                               
79916017797830010005700395613             3016002410580005700      955      400Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             4213002410155            579      294Juliaetta city                                                                                                                                                             
79916017797830010005700395613             4213002410155005700      579      294Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             4276002410179            303      166Kendrick city                                                                                                                                                              
79916017797830010005700395613             4276002410179005700      303      166Census Tract 57 (part)                                                                                                                                                     
79816017797830010005700395613             5455002411172          23800     9879Moscow city                                                                                                                                                                
79916017797830010005700395613             5455002411172005100     7057     3345Census Tract 51 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005200     5670     2370Census Tract 52 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005300     5298     2627Census Tract 53 (part)                                                                                                                                                     
79916017797830010005700395613             5455002411172005400     5775     1537Census Tract 54 (part)                                                                                                                                                     
79816017797830010005700395613             5887002411322            187       90Onaway city                                                                                                                                                                
