795210177978600100                                              196393    93709Purchase Area Development District PUMA                                                                                                                                    
79621017797860010000700516850                                     8249     3885Ballard County                                                                                                                                                             
79821017797860010000700516850             0341202629569            203      101Bandana CDP                                                                                                                                                                
79921017797860010000700516850             0341202629569950100      203      101Census Tract 9501 (part)                                                                                                                                                   
79821017797860010000700516850             0371802403159            675      356Barlow city                                                                                                                                                                
79921017797860010000700516850             0371802403159950200      675      356Census Tract 9502 (part)                                                                                                                                                   
79821017797860010000700516850             0739002403877             90       42Blandville city                                                                                                                                                            
79921017797860010000700516850             0739002403877950300       90       42Census Tract 9503 (part)                                                                                                                                                   
79821017797860010000700516850             4229202404824            376      194Kevil city                                                                                                                                                                 
79921017797860010000700516850             4229202404824950100      376      194Census Tract 9501 (part)                                                                                                                                                   
79821017797860010000700516850             4333602404845           1009      471La Center city                                                                                                                                                             
79921017797860010000700516850             4333602404845950100     1009      471Census Tract 9501 (part)                                                                                                                                                   
79821017797860010000700516850             4807202629642            148       82Lovelaceville CDP                                                                                                                                                          
79921017797860010000700516850             4807202629642950300      148       82Census Tract 9503 (part)                                                                                                                                                   
79821017797860010000700516850             8306402405740            688      355Wickliffe city                                                                                                                                                             
79921017797860010000700516850             8306402405740950300      688      355Census Tract 9503 (part)                                                                                                                                                   
79821017797860010000700516850             9999999999999           5060     2284Remainder of Ballard County                                                                                                                                                
79921017797860010000700516850             9999999999999950100     2671     1223Census Tract 9501 (part)                                                                                                                                                   
79921017797860010000700516850             9999999999999950200      819      359Census Tract 9502 (part)                                                                                                                                                   
79921017797860010000700516850             9999999999999950300     1570      702Census Tract 9503 (part)                                                                                                                                                   
79621017797860010003500516864                                    37191    18065Calloway County                                                                                                                                                            
79821017797860010003500516864             2132202629603            277      127Dexter CDP                                                                                                                                                                 
79921017797860010003500516864             2132202629603010200      277      127Census Tract 102 (part)                                                                                                                                                    
79821017797860010003500516864             3538002404668            410      222Hazel city                                                                                                                                                                 
79921017797860010003500516864             3538002404668010700      410      222Census Tract 107 (part)                                                                                                                                                    
79821017797860010003500516864             5464202404343          17741     8310Murray city                                                                                                                                                                
79921017797860010003500516864             5464202404343010301     3140      405Census Tract 103.01                                                                                                                                                        
79921017797860010003500516864             5464202404343010302     5168     3266Census Tract 103.02 (part)                                                                                                                                                 
79921017797860010003500516864             5464202404343010400     2006     1013Census Tract 104 (part)                                                                                                                                                    
79921017797860010003500516864             5464202404343010500     2275     1236Census Tract 105 (part)                                                                                                                                                    
79921017797860010003500516864             5464202404343010600     5152     2390Census Tract 106 (part)                                                                                                                                                    
79821017797860010003500516864             9999999999999          18763     9406Remainder of Calloway County                                                                                                                                               
79921017797860010003500516864             9999999999999010100     4106     2323Census Tract 101                                                                                                                                                           
79921017797860010003500516864             9999999999999010200     4194     1890Census Tract 102 (part)                                                                                                                                                    
79921017797860010003500516864             9999999999999010302     1404      617Census Tract 103.02 (part)                                                                                                                                                 
79921017797860010003500516864             9999999999999010400      294      131Census Tract 104 (part)                                                                                                                                                    
79921017797860010003500516864             9999999999999010500      857      406Census Tract 105 (part)                                                                                                                                                    
79921017797860010003500516864             9999999999999010600     1583      678Census Tract 106 (part)                                                                                                                                                    
79921017797860010003500516864             9999999999999010700     2867     1259Census Tract 107 (part)                                                                                                                                                    
79921017797860010003500516864             9999999999999010800     3458     2102Census Tract 108                                                                                                                                                           
79621017797860010003900516866                                     5104     2441Carlisle County                                                                                                                                                            
79821017797860010003900516866             0204402403113            324      169Arlington city                                                                                                                                                             
79921017797860010003900516866             0204402403113960300      324      169Census Tract 9603 (part)                                                                                                                                                   
79821017797860010003900516866             0366402403157            723      388Bardwell city                                                                                                                                                              
79921017797860010003900516866             0366402403157960200      723      388Census Tract 9602 (part)                                                                                                                                                   
79821017797860010003900516866             9999999999999           4057     1884Remainder of Carlisle County                                                                                                                                               
79921017797860010003900516866             9999999999999960100     1599      723Census Tract 9601                                                                                                                                                          
79921017797860010003900516866             9999999999999960200     1131      538Census Tract 9602 (part)                                                                                                                                                   
79921017797860010003900516866             9999999999999960300     1327      623Census Tract 9603 (part)                                                                                                                                                   
79621017797860010007500516884                                     6813     3372Fulton County                                                                                                                                                              
79821017797860010007500516884             1360002629586            123       63Cayce CDP                                                                                                                                                                  
79921017797860010007500516884             1360002629586960100      123       63Census Tract 9601 (part)                                                                                                                                                   
79821017797860010007500516884             2956602403669           2445     1328Fulton city                                                                                                                                                                
79921017797860010007500516884             2956602403669960100     2445     1328Census Tract 9601 (part)                                                                                                                                                   
79821017797860010007500516884             3629802404692           2395     1047Hickman city                                                                                                                                                               
79921017797860010007500516884             3629802404692960200     2395     1047Census Tract 9602 (part)                                                                                                                                                   
79821017797860010007500516884             9999999999999           1850      934Remainder of Fulton County                                                                                                                                                 
79921017797860010007500516884             9999999999999960100     1234      604Census Tract 9601 (part)                                                                                                                                                   
79921017797860010007500516884             9999999999999960200      616      330Census Tract 9602 (part)                                                                                                                                                   
79621017797860010008300516888                                    37121    16777Graves County                                                                                                                                                              
79821017797860010008300516888             2645202629613            458      214Fancy Farm CDP                                                                                                                                                             
79921017797860010008300516888             2645202629613020600      458      214Census Tract 206 (part)                                                                                                                                                    
79821017797860010008300516888             2661402629616            245      108Farmington CDP                                                                                                                                                             
79921017797860010008300516888             2661402629616020900      245      108Census Tract 209 (part)                                                                                                                                                    
79821017797860010008300516888             4823402629643             98       58Lowes CDP                                                                                                                                                                  
79921017797860010008300516888             4823402629643020700       98       58Census Tract 207 (part)                                                                                                                                                    
79821017797860010008300516888             5089802405040          10024     4739Mayfield city                                                                                                                                                              
79921017797860010008300516888             5089802405040020100     3088     1486Census Tract 201 (part)                                                                                                                                                    
79921017797860010008300516888             5089802405040020200     2855     1243Census Tract 202 (part)                                                                                                                                                    
79921017797860010008300516888             5089802405040020300     4081     2010Census Tract 203 (part)                                                                                                                                                    
79821017797860010008300516888             6342602629668            311      144Pryorsburg CDP                                                                                                                                                             
79921017797860010008300516888             6342602629668020200      311      144Census Tract 202 (part)                                                                                                                                                    
79821017797860010008300516888             6925802629678            295      135Sedalia CDP                                                                                                                                                                
79921017797860010008300516888             6925802629678020400      295      135Census Tract 204 (part)                                                                                                                                                    
79821017797860010008300516888             7527002629690            615      324Symsonia CDP                                                                                                                                                               
79921017797860010008300516888             7527002629690020800      615      324Census Tract 208 (part)                                                                                                                                                    
79821017797860010008300516888             8083202405684            279      145Water Valley city                                                                                                                                                          
79921017797860010008300516888             8083202405684020500      279      145Census Tract 205 (part)                                                                                                                                                    
79821017797860010008300516888             8385602405766            632      276Wingo city                                                                                                                                                                 
79921017797860010008300516888             8385602405766020500      632      276Census Tract 205 (part)                                                                                                                                                    
