795280177979000100                                              161252    61634North Delta Region--DeSoto County--Southaven City PUMA                                                                                                                     
79628017797900010003300695741                                   161252    61634DeSoto County                                                                                                                                                              
79828017797900010003300695741             0865502586584           1742      680Bridgetown CDP                                                                                                                                                             
79928017797900010003300695741             0865502586584070630     1573      613Census Tract 706.30 (part)                                                                                                                                                 
79928017797900010003300695741             0865502586584070722       30       15Census Tract 707.22 (part)                                                                                                                                                 
79928017797900010003300695741             0865502586584071000      139       52Census Tract 710 (part)                                                                                                                                                    
79828017797900010003300695741             3178002404688          14090     5506Hernando city                                                                                                                                                              
79928017797900010003300695741             3178002404688070222      210       97Census Tract 702.22 (part)                                                                                                                                                 
79928017797900010003300695741             3178002404688070630      171       77Census Tract 706.30 (part)                                                                                                                                                 
79928017797900010003300695741             3178002404688071000     5555     2288Census Tract 710 (part)                                                                                                                                                    
79928017797900010003300695741             3178002404688071110     5463     2053Census Tract 711.10 (part)                                                                                                                                                 
79928017797900010003300695741             3178002404688071120     2691      991Census Tract 711.20 (part)                                                                                                                                                 
79828017797900010003300695741             3370002404729          26066     9705Horn Lake city                                                                                                                                                             
79928017797900010003300695741             3370002404729070102        0        0Census Tract 701.02 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070210     4450     1639Census Tract 702.10 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070221     2279      818Census Tract 702.21 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070222     1852      836Census Tract 702.22 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070310      137       59Census Tract 703.10 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070322     3722     1409Census Tract 703.22                                                                                                                                                        
79928017797900010003300695741             3370002404729070323     5362     1977Census Tract 703.23 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070324     4834     1684Census Tract 703.24                                                                                                                                                        
79928017797900010003300695741             3370002404729070325     2917     1054Census Tract 703.25                                                                                                                                                        
79928017797900010003300695741             3370002404729070412      513      229Census Tract 704.12 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070421        0        0Census Tract 704.21 (part)                                                                                                                                                 
79928017797900010003300695741             3370002404729070422        0        0Census Tract 704.22 (part)                                                                                                                                                 
79828017797900010003300695741             4284002403250           2437      860Lynchburg CDP                                                                                                                                                              
79928017797900010003300695741             4284002403250070102     2437      860Census Tract 701.02 (part)                                                                                                                                                 
79828017797900010003300695741             5404002404429          33484    12942Olive Branch city                                                                                                                                                          
79928017797900010003300695741             5404002404429070520     1865      721Census Tract 705.20 (part)                                                                                                                                                 
79928017797900010003300695741             5404002404429070620     1455      527Census Tract 706.20 (part)                                                                                                                                                 
79928017797900010003300695741             5404002404429070710     6334     2329Census Tract 707.10                                                                                                                                                        
79928017797900010003300695741             5404002404429070721     3549     1216Census Tract 707.21 (part)                                                                                                                                                 
79928017797900010003300695741             5404002404429070722        0        0Census Tract 707.22 (part)                                                                                                                                                 
79928017797900010003300695741             5404002404429070811     5478     2223Census Tract 708.11                                                                                                                                                        
79928017797900010003300695741             5404002404429070812     5109     2250Census Tract 708.12                                                                                                                                                        
79928017797900010003300695741             5404002404429070821     4670     1848Census Tract 708.21                                                                                                                                                        
79928017797900010003300695741             5404002404429070822     5014     1825Census Tract 708.22                                                                                                                                                        
79928017797900010003300695741             5404002404429070830       10        3Census Tract 708.30 (part)                                                                                                                                                 
79828017797900010003300695741             6928002405496          48982    19101Southaven city                                                                                                                                                             
79928017797900010003300695741             6928002405496070210     2003      845Census Tract 702.10 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070222     1304      668Census Tract 702.22 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070310     3579     1642Census Tract 703.10 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070323        0        0Census Tract 703.23 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070411     1539      645Census Tract 704.11                                                                                                                                                        
79928017797900010003300695741             6928002405496070412     3979     1522Census Tract 704.12 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070421     2750     1085Census Tract 704.21 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070422     2612      976Census Tract 704.22 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070520     7627     2815Census Tract 705.20 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070521     3847     1401Census Tract 705.21                                                                                                                                                        
79928017797900010003300695741             6928002405496070522     4431     1791Census Tract 705.22                                                                                                                                                        
79928017797900010003300695741             6928002405496070610     3001     1331Census Tract 706.10                                                                                                                                                        
79928017797900010003300695741             6928002405496070620     5676     2035Census Tract 706.20 (part)                                                                                                                                                 
79928017797900010003300695741             6928002405496070630     6634     2345Census Tract 706.30 (part)                                                                                                                                                 
79828017797900010003300695741             7740001675450           1162      440Walls town                                                                                                                                                                 
79928017797900010003300695741             7740001675450070101      859      330Census Tract 701.01 (part)                                                                                                                                                 
79928017797900010003300695741             7740001675450070102      303      110Census Tract 701.02 (part)                                                                                                                                                 
79828017797900010003300695741             9999999999999          33289    12400Remainder of DeSoto County                                                                                                                                                 
79928017797900010003300695741             9999999999999070101     2260      924Census Tract 701.01 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070102     1484      567Census Tract 701.02 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070221     1584      651Census Tract 702.21 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070222      482      182Census Tract 702.22 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070620        0        0Census Tract 706.20 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070630     1701      592Census Tract 706.30 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070721      490      177Census Tract 707.21 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070722     4567     1603Census Tract 707.22 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070830     5495     1861Census Tract 708.30 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999070900     4522     1640Census Tract 709                                                                                                                                                           
79928017797900010003300695741             9999999999999071000     3311     1237Census Tract 710 (part)                                                                                                                                                    
79928017797900010003300695741             9999999999999071110      963      349Census Tract 711.10 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999071120     3253     1281Census Tract 711.20 (part)                                                                                                                                                 
79928017797900010003300695741             9999999999999071200     3177     1336Census Tract 712                                                                                                                                                           
795280177979000200                                              150031    67189Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA                                                                                    
79628017797900020000300711755                                    37057    17077Alcorn County                                                                                                                                                              
79828017797900020000300711755             1570002404132          14573     7149Corinth city                                                                                                                                                               
79928017797900020000300711755             1570002404132950100      763      356Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950200     6911     3336Census Tract 9502                                                                                                                                                          
79928017797900020000300711755             1570002404132950300     2763     1396Census Tract 9503 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950400        0        0Census Tract 9504 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950500     4136     2061Census Tract 9505 (part)                                                                                                                                                   
79928017797900020000300711755             1570002404132950600        0        0Census Tract 9506 (part)                                                                                                                                                   
79828017797900020000300711755             2442002406492           2186      966Farmington town                                                                                                                                                            
79928017797900020000300711755             2442002406492950100     2033      900Census Tract 9501 (part)                                                                                                                                                   
79928017797900020000300711755             2442002406492950600      153       66Census Tract 9506 (part)                                                                                                                                                   
