795320177979300101                                              177318    83430Washoe County (South Central)--Reno City PUMA                                                                                                                              
79632017797930010103100858608                                   177318    83430Washoe County (part)                                                                                                                                                       
79832017797930010103100858608             2886002583929            276       96Golden Valley CDP (part)                                                                                                                                                   
79932017797930010103100858608             2886002583929002617      276       96Census Tract 26.17 (part)                                                                                                                                                  
79832017797930010103100858608             4800002583942            116       40Mogul CDP (part)                                                                                                                                                           
79932017797930010103100858608             4800002583942001201       57       18Census Tract 12.01 (part)                                                                                                                                                  
79932017797930010103100858608             4800002583942002409       48       19Census Tract 24.09 (part)                                                                                                                                                  
79932017797930010103100858608             4800002583942002410       11        3Census Tract 24.10 (part)                                                                                                                                                  
79832017797930010103100858608             6060002410923         171658    81267Reno city (part)                                                                                                                                                           
79932017797930010103100858608             6060002410923000101     3236     3066Census Tract 1.01                                                                                                                                                          
79932017797930010103100858608             6060002410923000102     3945     2559Census Tract 1.02 (part)                                                                                                                                                   
79932017797930010103100858608             6060002410923000201     3270     1347Census Tract 2.01                                                                                                                                                          
79932017797930010103100858608             6060002410923000202     2503     1669Census Tract 2.02                                                                                                                                                          
79932017797930010103100858608             6060002410923000300     3598     2349Census Tract 3                                                                                                                                                             
79932017797930010103100858608             6060002410923000400     4987     2700Census Tract 4                                                                                                                                                             
79932017797930010103100858608             6060002410923000700     5689     2810Census Tract 7                                                                                                                                                             
79932017797930010103100858608             6060002410923000900     4772     1986Census Tract 9                                                                                                                                                             
79932017797930010103100858608             6060002410923001005     3028     1537Census Tract 10.05                                                                                                                                                         
79932017797930010103100858608             6060002410923001008     4562     2193Census Tract 10.08                                                                                                                                                         
79932017797930010103100858608             6060002410923001009     2577     1555Census Tract 10.09                                                                                                                                                         
79932017797930010103100858608             6060002410923001015     4465     2197Census Tract 10.15 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001101     2713     1399Census Tract 11.01                                                                                                                                                         
79932017797930010103100858608             6060002410923001104     4236     1941Census Tract 11.04 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001105     3762     1663Census Tract 11.05 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001201     2404     1524Census Tract 12.01 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001202     4491     2782Census Tract 12.02 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001300     3738     1621Census Tract 13 (part)                                                                                                                                                     
79932017797930010103100858608             6060002410923001400     3002     1512Census Tract 14                                                                                                                                                            
79932017797930010103100858608             6060002410923001501     4444     1861Census Tract 15.01                                                                                                                                                         
79932017797930010103100858608             6060002410923001502     6522     2452Census Tract 15.02                                                                                                                                                         
79932017797930010103100858608             6060002410923001701     3128     1371Census Tract 17.01                                                                                                                                                         
79932017797930010103100858608             6060002410923001702     3322     1628Census Tract 17.02 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923001801     3778     1212Census Tract 18.01                                                                                                                                                         
79932017797930010103100858608             6060002410923001802     2510     1056Census Tract 18.02 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002104     2174     1045Census Tract 21.04 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002105     4291     2154Census Tract 21.05                                                                                                                                                         
79932017797930010103100858608             6060002410923002106     3316     1254Census Tract 21.06                                                                                                                                                         
79932017797930010103100858608             6060002410923002107     1220      588Census Tract 21.07 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002204     4519     2124Census Tract 22.04                                                                                                                                                         
79932017797930010103100858608             6060002410923002205     4807     2444Census Tract 22.05 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002206     6400     2973Census Tract 22.06 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002208     2544     1439Census Tract 22.08 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002211     3745     1503Census Tract 22.11                                                                                                                                                         
79932017797930010103100858608             6060002410923002212     4256     1612Census Tract 22.12                                                                                                                                                         
79932017797930010103100858608             6060002410923002401     3445     1339Census Tract 24.01 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002406     4798     2080Census Tract 24.06 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002407     3938     1663Census Tract 24.07                                                                                                                                                         
79932017797930010103100858608             6060002410923002408     3027     1223Census Tract 24.08                                                                                                                                                         
79932017797930010103100858608             6060002410923002409     4334     1653Census Tract 24.09 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002410     3949     1999Census Tract 24.10 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002411     3737     1626Census Tract 24.11                                                                                                                                                         
79932017797930010103100858608             6060002410923002500     4991     2215Census Tract 25 (part)                                                                                                                                                     
79932017797930010103100858608             6060002410923002617     6122     1804Census Tract 26.17 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923002703     1146      534Census Tract 27.03 (part)                                                                                                                                                  
79932017797930010103100858608             6060002410923980000      217        5Census Tract 9800                                                                                                                                                          
