795350089753500100                                              127808    47325Northwest New Mexico--Navajo Nation PUMA                                                                                                                                   
79635008975350010000600933051                                    27213    11101Cibola County                                                                                                                                                              
79835008975350010000600933051             0076502407695            416      125Acomita Lake CDP                                                                                                                                                           
79935008975350010000600933051             0076502407695941500      416      125Census Tract 9415 (part)                                                                                                                                                   
79835008975350010000600933051             0397002585647             54       22Anzac Village CDP                                                                                                                                                          
79935008975350010000600933051             0397002585647941500       54       22Census Tract 9415 (part)                                                                                                                                                   
79835008975350010000600933051             0714502584056            140       75Bibo CDP                                                                                                                                                                   
79935008975350010000600933051             0714502584056974700      140       75Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             0818502584058            206      317Bluewater Acres CDP                                                                                                                                                        
79935008975350010000600933051             0818502584058974700      206      317Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             0819002584059            628      274Bluewater Village CDP                                                                                                                                                      
79935008975350010000600933051             0819002584059974700      628      274Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             1922002584085            289      147Cubero CDP                                                                                                                                                                 
79935008975350010000600933051             1922002584085974700      289      147Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             2454002408082            210       71Encinal CDP                                                                                                                                                                
79935008975350010000600933051             2454002408082946100      210       71Census Tract 9461 (part)                                                                                                                                                   
79835008975350010000600933051             2601002584100             42       42Fence Lake CDP                                                                                                                                                             
79935008975350010000600933051             2601002584100974700       42       42Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             3049002410646           9182     3804Grants city                                                                                                                                                                
79935008975350010000600933051             3049002410646974201     4748     1771Census Tract 9742.01 (part)                                                                                                                                                
79935008975350010000600933051             3049002410646974202     2921     1328Census Tract 9742.02                                                                                                                                                       
79935008975350010000600933051             3049002410646974400      961      481Census Tract 9744 (part)                                                                                                                                                   
79935008975350010000600933051             3049002410646974700      552      224Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             3707002408523           1241      400Laguna CDP                                                                                                                                                                 
79935008975350010000600933051             3707002408523946100     1241      400Census Tract 9461 (part)                                                                                                                                                   
79835008975350010000600933051             4569002585648             48       19McCartys Village CDP                                                                                                                                                       
79935008975350010000600933051             4569002585648941500       48       19Census Tract 9415 (part)                                                                                                                                                   
79835008975350010000600933051             4820002408822            804      236Mesita CDP                                                                                                                                                                 
79935008975350010000600933051             4820002408822946100      804      236Census Tract 9461 (part)                                                                                                                                                   
79835008975350010000600933051             4862002413573           3245      837Milan village                                                                                                                                                              
79935008975350010000600933051             4862002413573974400     1925      822Census Tract 9744 (part)                                                                                                                                                   
79935008975350010000600933051             4862002413573974700     1320       15Census Tract 9747 (part)                                                                                                                                                   
79835008975350010000600933051             5002002584156             37       21Moquino CDP                                                                                                                                                                
79935008975350010000600933051             5002002584156974700       37       21Census Tract 9747 (part)                                                                                                                                                   
