795370102761600100                                              129554    83114Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties PUMA                                                                                                  
79637010276160010000901008535                                    27281    17342Ashe County                                                                                                                                                                
79837010276160010000901008535             3444002405910           1611      754Jefferson town                                                                                                                                                             
79937010276160010000901008535             3444002405910970500     1611      754Census Tract 9705 (part)                                                                                                                                                   
79837010276160010000901008535             3696002405986            158       90Lansing town                                                                                                                                                               
79937010276160010000901008535             3696002405986970200      158       90Census Tract 9702 (part)                                                                                                                                                   
79837010276160010000901008535             7254002406863           1299      751West Jefferson town                                                                                                                                                        
79937010276160010000901008535             7254002406863970400     1171      657Census Tract 9704 (part)                                                                                                                                                   
79937010276160010000901008535             7254002406863970500      128       94Census Tract 9705 (part)                                                                                                                                                   
79837010276160010000901008535             9999999999999          24213    15747Remainder of Ashe County                                                                                                                                                   
79937010276160010000901008535             9999999999999970200     2726     1618Census Tract 9702 (part)                                                                                                                                                   
79937010276160010000901008535             9999999999999970300     2470     1596Census Tract 9703                                                                                                                                                          
79937010276160010000901008535             9999999999999970400     3354     1849Census Tract 9704 (part)                                                                                                                                                   
79937010276160010000901008535             9999999999999970500     4789     2932Census Tract 9705 (part)                                                                                                                                                   
79937010276160010000901008535             9999999999999970700     5926     4225Census Tract 9707                                                                                                                                                          
79937010276160010000901008535             9999999999999970800     4948     3527Census Tract 9708                                                                                                                                                          
79637010276160010001101008536                                    17797    13890Avery County                                                                                                                                                               
79837010276160010001101008536             0350002405208           1028      607Banner Elk town                                                                                                                                                            
79937010276160010001101008536             0350002405208930100     1013      571Census Tract 9301 (part)                                                                                                                                                   
79937010276160010001101008536             0350002405208930200       15       36Census Tract 9302 (part)                                                                                                                                                   
79837010276160010001101008536             0451002405226             24      347Beech Mountain town (part)                                                                                                                                                 
79937010276160010001101008536             0451002405226930100       24      347Census Tract 9301 (part)                                                                                                                                                   
79837010276160010001101008536             1558002406340            192       87Crossnore town                                                                                                                                                             
79937010276160010001101008536             1558002406340930400      192       87Census Tract 9304 (part)                                                                                                                                                   
79837010276160010001101008536             2070002406435            452      250Elk Park town                                                                                                                                                              
79937010276160010001101008536             2070002406435930302      452      250Census Tract 9303.02 (part)                                                                                                                                                
79837010276160010001101008536             2732002407469             25      409Grandfather village                                                                                                                                                        
79937010276160010001101008536             2732002407469930200       25      409Census Tract 9302 (part)                                                                                                                                                   
79837010276160010001101008536             4674002406987            698      362Newland town                                                                                                                                                               
79937010276160010001101008536             4674002406987930301      698      362Census Tract 9303.01 (part)                                                                                                                                                
79837010276160010001101008536             6050502407313             28      124Seven Devils town (part)                                                                                                                                                   
79937010276160010001101008536             6050502407313930100       28      124Census Tract 9301 (part)                                                                                                                                                   
79937010276160010001101008536             6050502407313930200        0        0Census Tract 9302 (part)                                                                                                                                                   
79837010276160010001101008536             6553002407555            198     1540Sugar Mountain village                                                                                                                                                     
79937010276160010001101008536             6553002407555930100        3        3Census Tract 9301 (part)                                                                                                                                                   
79937010276160010001101008536             6553002407555930200      195     1537Census Tract 9302 (part)                                                                                                                                                   
79837010276160010001101008536             9999999999999          15152    10164Remainder of Avery County                                                                                                                                                  
79937010276160010001101008536             9999999999999930100     2032     1573Census Tract 9301 (part)                                                                                                                                                   
79937010276160010001101008536             9999999999999930200     2488     3334Census Tract 9302 (part)                                                                                                                                                   
79937010276160010001101008536             9999999999999930301     2817     1976Census Tract 9303.01 (part)                                                                                                                                                
79937010276160010001101008536             9999999999999930302     2678     1474Census Tract 9303.02 (part)                                                                                                                                                
79937010276160010001101008536             9999999999999930400     5137     1807Census Tract 9304 (part)                                                                                                                                                   
79637010276160010012101008571                                    15579     8713Mitchell County                                                                                                                                                            
79837010276160010012101008571             0310002405201            464      269Bakersville town                                                                                                                                                           
79937010276160010012101008571             0310002405201950200      464      269Census Tract 9502 (part)                                                                                                                                                   
79837010276160010012101008571             6426002407391           2175     1042Spruce Pine town                                                                                                                                                           
79937010276160010012101008571             6426002407391950300     1223      631Census Tract 9503 (part)                                                                                                                                                   
