795410115510700100                                              124779    54116Umatilla, Union, Baker & Wallowa Counties PUMA                                                                                                                             
79641011551070010000101135845                                    16134     8826Baker County                                                                                                                                                               
79841011551070010000101135845             0365002409773           9828     4653Baker City city                                                                                                                                                            
79941011551070010000101135845             0365002409773950100        0        0Census Tract 9501 (part)                                                                                                                                                   
79941011551070010000101135845             0365002409773950200     2964     1446Census Tract 9502 (part)                                                                                                                                                   
79941011551070010000101135845             0365002409773950300     1796      858Census Tract 9503 (part)                                                                                                                                                   
79941011551070010000101135845             0365002409773950400     3007     1460Census Tract 9504 (part)                                                                                                                                                   
79941011551070010000101135845             0365002409773950500     2061      889Census Tract 9505 (part)                                                                                                                                                   
79841011551070010000101135845             3105002410658              0       10Greenhorn city (part)                                                                                                                                                      
79941011551070010000101135845             3105002410658950100        0       10Census Tract 9501 (part)                                                                                                                                                   
79841011551070010000101135845             3160002410683            416      201Haines city                                                                                                                                                                
79941011551070010000101135845             3160002410683950100      416      201Census Tract 9501 (part)                                                                                                                                                   
79841011551070010000101135845             3165002410686            288      199Halfway city                                                                                                                                                               
79941011551070010000101135845             3165002410686950600      288      199Census Tract 9506 (part)                                                                                                                                                   
79841011551070010000101135845             3570002410808            440      272Huntington city                                                                                                                                                            
79941011551070010000101135845             3570002410808950300      440      272Census Tract 9503 (part)                                                                                                                                                   
79841011551070010000101135845             6170002410936            156      116Richland city                                                                                                                                                              
79941011551070010000101135845             6170002410936950600      156      116Census Tract 9506 (part)                                                                                                                                                   
79841011551070010000101135845             7100002412002            204      307Sumpter city                                                                                                                                                               
79941011551070010000101135845             7100002412002950100      204      307Census Tract 9501 (part)                                                                                                                                                   
79841011551070010000101135845             7625002412133             71       58Unity city                                                                                                                                                                 
79941011551070010000101135845             7625002412133950100       71       58Census Tract 9501 (part)                                                                                                                                                   
79841011551070010000101135845             9999999999999           4731     3010Remainder of Baker County                                                                                                                                                  
79941011551070010000101135845             9999999999999950100     2070     1360Census Tract 9501 (part)                                                                                                                                                   
79941011551070010000101135845             9999999999999950200      181       78Census Tract 9502 (part)                                                                                                                                                   
79941011551070010000101135845             9999999999999950300      412      223Census Tract 9503 (part)                                                                                                                                                   
79941011551070010000101135845             9999999999999950400       19        8Census Tract 9504 (part)                                                                                                                                                   
79941011551070010000101135845             9999999999999950500      569      244Census Tract 9505 (part)                                                                                                                                                   
79941011551070010000101135845             9999999999999950600     1480     1097Census Tract 9506 (part)                                                                                                                                                   
79641011551070010005901156673                                    75889    29693Umatilla County                                                                                                                                                            
79841011551070010005901156673             0035002409662            350      141Adams city                                                                                                                                                                 
79941011551070010005901156673             0035002409662950300      350      141Census Tract 9503 (part)                                                                                                                                                   
79841011551070010005901156673             0320002409746           1126      484Athena city                                                                                                                                                                
79941011551070010005901156673             0320002409746950300     1126      484Census Tract 9503 (part)                                                                                                                                                   
79841011551070010005901156673             1190002407996             68       22Cayuse CDP                                                                                                                                                                 
79941011551070010005901156673             1190002407996940000       68       22Census Tract 9400 (part)                                                                                                                                                   
79841011551070010005901156673             2220002410394            699      256Echo city                                                                                                                                                                  
79941011551070010005901156673             2220002410394951300      699      256Census Tract 9513 (part)                                                                                                                                                   
79841011551070010005901156673             3016502408309            379      170Gopher Flats CDP                                                                                                                                                           
79941011551070010005901156673             3016502408309940000      379      170Census Tract 9400 (part)                                                                                                                                                   
79841011551070010005901156673             3325002410735            184       68Helix city                                                                                                                                                                 
79941011551070010005901156673             3325002410735950400      184       68Census Tract 9504 (part)                                                                                                                                                   
79841011551070010005901156673             3370002410748          16745     6373Hermiston city                                                                                                                                                             
79941011551070010005901156673             3370002410748950900        0        0Census Tract 9509 (part)                                                                                                                                                   
79941011551070010005901156673             3370002410748951000     5015     1938Census Tract 9510 (part)                                                                                                                                                   
79941011551070010005901156673             3370002410748951100     4676     1838Census Tract 9511 (part)                                                                                                                                                   
79941011551070010005901156673             3370002410748951200     7054     2597Census Tract 9512 (part)                                                                                                                                                   
79841011551070010005901156673             3956602408488            179       64Kirkpatrick CDP                                                                                                                                                            
79941011551070010005901156673             3956602408488940000      179       64Census Tract 9400 (part)                                                                                                                                                   
79841011551070010005901156673             4860002411115           7050     2742Milton-Freewater city                                                                                                                                                      
79941011551070010005901156673             4860002411115950100        0        0Census Tract 9501 (part)                                                                                                                                                   
79941011551070010005901156673             4860002411115950200     7050     2742Census Tract 9502 (part)                                                                                                                                                   
79841011551070010005901156673             4900002408844           1037      363Mission CDP                                                                                                                                                                
79941011551070010005901156673             4900002408844940000     1037      363Census Tract 9400 (part)                                                                                                                                                   
79841011551070010005901156673             5715002411399          16612     6800Pendleton city                                                                                                                                                             
79941011551070010005901156673             5715002411399950400     5406     1679Census Tract 9504 (part)                                                                                                                                                   
79941011551070010005901156673             5715002411399950500     3560     1575Census Tract 9505 (part)                                                                                                                                                   
79941011551070010005901156673             5715002411399950600     5483     2519Census Tract 9506 (part)                                                                                                                                                   
79941011551070010005901156673             5715002411399950700     2163     1027Census Tract 9507 (part)                                                                                                                                                   
79841011551070010005901156673             5765002411422           1502      649Pilot Rock city                                                                                                                                                            
79941011551070010005901156673             5765002411422951400     1502      649Census Tract 9514 (part)                                                                                                                                                   
79841011551070010005901156673             6241202409188            199       83Riverside CDP                                                                                                                                                              
79941011551070010005901156673             6241202409188940000      199       83Census Tract 9400 (part)                                                                                                                                                   
79841011551070010005901156673             6990002411967           2043      735Stanfield city                                                                                                                                                             
79941011551070010005901156673             6990002411967951300     2043      735Census Tract 9513 (part)                                                                                                                                                   
79841011551070010005901156673             7518502409368            487      179Tutuilla CDP                                                                                                                                                               
79941011551070010005901156673             7518502409368940000      487      179Census Tract 9400 (part)                                                                                                                                                   
