795450177979900101                                              193497    90007Pickens & Oconee Counties--Easley & Clemson Cities PUMA                                                                                                                    
79645017797990010107301244832                                    74273    38763Oconee County                                                                                                                                                              
79845017797990010107301244832             2473002584531            647      432Fair Play CDP (part)                                                                                                                                                       
79945017797990010107301244832             2473002584531030902      647      432Census Tract 309.02 (part)                                                                                                                                                 
79845017797990010107301244832             4997502584533            172      108Newry CDP                                                                                                                                                                  
79945017797990010107301244832             4997502584533030602      172      108Census Tract 306.02 (part)                                                                                                                                                 
79845017797990010107301244832             6298002407275            135       77Salem town                                                                                                                                                                 
79945017797990010107301244832             6298002407275030200      135       77Census Tract 302 (part)                                                                                                                                                    
79845017797990010107301244832             6509502405444           8102     4076Seneca city                                                                                                                                                                
79945017797990010107301244832             6509502405444030601     1857     1032Census Tract 306.01 (part)                                                                                                                                                 
79945017797990010107301244832             6509502405444030602        0        0Census Tract 306.02 (part)                                                                                                                                                 
79945017797990010107301244832             6509502405444030701     2038     1050Census Tract 307.01 (part)                                                                                                                                                 
79945017797990010107301244832             6509502405444030702      976      414Census Tract 307.02 (part)                                                                                                                                                 
79945017797990010107301244832             6509502405444030800     3226     1578Census Tract 308 (part)                                                                                                                                                    
79945017797990010107301244832             6509502405444030902        5        2Census Tract 309.02 (part)                                                                                                                                                 
79845017797990010107301244832             7333002402954           1489      716Utica CDP                                                                                                                                                                  
79945017797990010107301244832             7333002402954030701     1489      716Census Tract 307.01 (part)                                                                                                                                                 
79845017797990010107301244832             7409502405663           4263     1852Walhalla city                                                                                                                                                              
79945017797990010107301244832             7409502405663030300       20        6Census Tract 303 (part)                                                                                                                                                    
79945017797990010107301244832             7409502405663030401     4236     1843Census Tract 304.01 (part)                                                                                                                                                 
79945017797990010107301244832             7409502405663030402        7        3Census Tract 304.02 (part)                                                                                                                                                 
79845017797990010107301244832             7616502405719           2418     1227Westminster city                                                                                                                                                           
79945017797990010107301244832             7616502405719031000     2058     1022Census Tract 310 (part)                                                                                                                                                    
79945017797990010107301244832             7616502405719031100      360      205Census Tract 311 (part)                                                                                                                                                    
79845017797990010107301244832             7643502406867            291      150West Union town                                                                                                                                                            
79945017797990010107301244832             7643502406867030401      139       70Census Tract 304.01 (part)                                                                                                                                                 
79945017797990010107301244832             7643502406867030402      152       80Census Tract 304.02 (part)                                                                                                                                                 
79845017797990010107301244832             9999999999999          56756    30125Remainder of Oconee County                                                                                                                                                 
79945017797990010107301244832             9999999999999030100     4352     2645Census Tract 301                                                                                                                                                           
79945017797990010107301244832             9999999999999030200     5629     3812Census Tract 302 (part)                                                                                                                                                    
79945017797990010107301244832             9999999999999030300     6125     3417Census Tract 303 (part)                                                                                                                                                    
79945017797990010107301244832             9999999999999030401     2614     1131Census Tract 304.01 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030402     1620      809Census Tract 304.02 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030500     4375     2177Census Tract 305                                                                                                                                                           
79945017797990010107301244832             9999999999999030601     2586     1291Census Tract 306.01 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030602     4275     2043Census Tract 306.02 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030701      206      101Census Tract 307.01 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030702     5110     2514Census Tract 307.02 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999030800     3988     1885Census Tract 308 (part)                                                                                                                                                    
79945017797990010107301244832             9999999999999030901     2454     1921Census Tract 309.01                                                                                                                                                        
79945017797990010107301244832             9999999999999030902     6874     3167Census Tract 309.02 (part)                                                                                                                                                 
79945017797990010107301244832             9999999999999031000     3209     1612Census Tract 310 (part)                                                                                                                                                    
79945017797990010107301244832             9999999999999031100     3339     1600Census Tract 311 (part)                                                                                                                                                    
79645017797990010107701248015                                   119224    51244Pickens County                                                                                                                                                             
79845017797990010107701248015             0244002402651           2543     1161Arial CDP                                                                                                                                                                  
79945017797990010107701248015             0244002402651010700     1970      904Census Tract 107 (part)                                                                                                                                                    
79945017797990010107701248015             0244002402651010801      573      257Census Tract 108.01 (part)                                                                                                                                                 
79845017797990010107701248015             1301502406246           5159     2230Central town                                                                                                                                                               
79945017797990010107701248015             1301502406246011101      938      415Census Tract 111.01 (part)                                                                                                                                                 
79945017797990010107701248015             1301502406246011102     4221     1815Census Tract 111.02 (part)                                                                                                                                                 
79845017797990010107701248015             1495002404068          13860     6615Clemson city (part)                                                                                                                                                        
79945017797990010107701248015             1495002404068011101        0        0Census Tract 111.01 (part)                                                                                                                                                 
79945017797990010107701248015             1495002404068011102     1182      643Census Tract 111.02 (part)                                                                                                                                                 
79945017797990010107701248015             1495002404068011202       73       43Census Tract 112.02 (part)                                                                                                                                                 
79945017797990010107701248015             1495002404068011203     5757     2512Census Tract 112.03 (part)                                                                                                                                                 
79945017797990010107701248015             1495002404068011204     3660     1881Census Tract 112.04 (part)                                                                                                                                                 
79945017797990010107701248015             1495002404068011205     3188     1536Census Tract 112.05 (part)                                                                                                                                                 
79845017797990010107701248015             2198502403530          19961     9057Easley city (part)                                                                                                                                                         
79945017797990010107701248015             2198502403530010602        0        0Census Tract 106.02 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010801     3165     1504Census Tract 108.01 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010802     1735      811Census Tract 108.02 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010803     2191      971Census Tract 108.03 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010804     3195     1603Census Tract 108.04 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010901     2413     1044Census Tract 109.01 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010902     5056     2289Census Tract 109.02 (part)                                                                                                                                                 
79945017797990010107701248015             2198502403530010903     2206      835Census Tract 109.03 (part)                                                                                                                                                 
79845017797990010107701248015             4138002404925           3269     1508Liberty city                                                                                                                                                               
79945017797990010107701248015             4138002404925011001      207       75Census Tract 110.01 (part)                                                                                                                                                 
79945017797990010107701248015             4138002404925011002     3062     1433Census Tract 110.02 (part)                                                                                                                                                 
