795510177980301301                                              105186    51323Arlington County (North) PUMA                                                                                                                                              
79651017798030130101301480097                                   105186    51323Arlington County (part)                                                                                                                                                    
79851017798030130101301480097             0300002389148         105186    51323Arlington CDP (part)                                                                                                                                                       
79951017798030130101301480097             0300002389148100100     4672     1702Census Tract 1001                                                                                                                                                          
79951017798030130101301480097             0300002389148100200     6019     2189Census Tract 1002                                                                                                                                                          
79951017798030130101301480097             0300002389148100300     6213     2116Census Tract 1003                                                                                                                                                          
79951017798030130101301480097             0300002389148100400     3502     1319Census Tract 1004                                                                                                                                                          
79951017798030130101301480097             0300002389148100500     4305     1637Census Tract 1005                                                                                                                                                          
79951017798030130101301480097             0300002389148100600     3076     1306Census Tract 1006                                                                                                                                                          
79951017798030130101301480097             0300002389148100700     5149     2216Census Tract 1007                                                                                                                                                          
79951017798030130101301480097             0300002389148100800     1525      529Census Tract 1008                                                                                                                                                          
79951017798030130101301480097             0300002389148100900     4092     1747Census Tract 1009                                                                                                                                                          
79951017798030130101301480097             0300002389148101000     3078     1248Census Tract 1010                                                                                                                                                          
79951017798030130101301480097             0300002389148101100     5159     2040Census Tract 1011                                                                                                                                                          
79951017798030130101301480097             0300002389148101200     3537     1330Census Tract 1012                                                                                                                                                          
79951017798030130101301480097             0300002389148101300     6091     2325Census Tract 1013                                                                                                                                                          
79951017798030130101301480097             0300002389148101401     1225      762Census Tract 1014.01                                                                                                                                                       
79951017798030130101301480097             0300002389148101402     2712     1459Census Tract 1014.02                                                                                                                                                       
79951017798030130101301480097             0300002389148101403     5609     3971Census Tract 1014.03                                                                                                                                                       
79951017798030130101301480097             0300002389148101404     4255     2849Census Tract 1014.04                                                                                                                                                       
79951017798030130101301480097             0300002389148101500     7101     3762Census Tract 1015                                                                                                                                                          
79951017798030130101301480097             0300002389148101601     1313      707Census Tract 1016.01                                                                                                                                                       
79951017798030130101301480097             0300002389148101602     1580     1061Census Tract 1016.02                                                                                                                                                       
79951017798030130101301480097             0300002389148101603     3526     2203Census Tract 1016.03                                                                                                                                                       
79951017798030130101301480097             0300002389148101701     4166     2232Census Tract 1017.01                                                                                                                                                       
79951017798030130101301480097             0300002389148101702     4965     3510Census Tract 1017.02                                                                                                                                                       
79951017798030130101301480097             0300002389148101801     2662     1664Census Tract 1018.01                                                                                                                                                       
79951017798030130101301480097             0300002389148101802     6072     3660Census Tract 1018.02                                                                                                                                                       
79951017798030130101301480097             0300002389148102001     2248     1160Census Tract 1020.01                                                                                                                                                       
79951017798030130101301480097             0300002389148102002     1334      619Census Tract 1020.02                                                                                                                                                       
