795540177980500100                                              132295    62598Ohio, Marshall, Hancock & Brooke Counties PUMA                                                                                                                             
79654017798050010000901558262                                    24069    10967Brooke County                                                                                                                                                              
79854017798050010000901558262             0545202391543            523      257Beech Bottom village                                                                                                                                                       
79954017798050010000901558262             0545202391543031700      523      257Census Tract 317 (part)                                                                                                                                                    
79854017798050010000901558262             0684402390725           1036      190Bethany town                                                                                                                                                               
79954017798050010000901558262             0684402390725031600     1036      190Census Tract 316 (part)                                                                                                                                                    
79854017798050010000901558262             2820402390587           2986     1432Follansbee city                                                                                                                                                            
79954017798050010000901558262             2820402390587031102     1667      746Census Tract 311.02 (part)                                                                                                                                                 
79954017798050010000901558262             2820402390587031200     1319      686Census Tract 312 (part)                                                                                                                                                    
79854017798050010000901558262             3847602389949           2590     1143Hooverson Heights CDP                                                                                                                                                      
79954017798050010000901558262             3847602389949031102      601      290Census Tract 311.02 (part)                                                                                                                                                 
79954017798050010000901558262             3847602389949031200     1989      853Census Tract 312 (part)                                                                                                                                                    
79854017798050010000901558262             8515602390666           4019     2098Weirton city (part)                                                                                                                                                        
79954017798050010000901558262             8515602390666031101     4019     2098Census Tract 311.01 (part)                                                                                                                                                 
79854017798050010000901558262             8532402390668           2805     1463Wellsburg city                                                                                                                                                             
79954017798050010000901558262             8532402390668031400     2805     1463Census Tract 314 (part)                                                                                                                                                    
79854017798050010000901558262             8789202391222            423      185Windsor Heights village                                                                                                                                                    
79954017798050010000901558262             8789202391222031700      423      185Census Tract 317 (part)                                                                                                                                                    
79854017798050010000901558262             9999999999999           9687     4199Remainder of Brooke County                                                                                                                                                 
79954017798050010000901558262             9999999999999031101     1194      524Census Tract 311.01 (part)                                                                                                                                                 
79954017798050010000901558262             9999999999999031102     2245      965Census Tract 311.02 (part)                                                                                                                                                 
79954017798050010000901558262             9999999999999031200        0        0Census Tract 312 (part)                                                                                                                                                    
79954017798050010000901558262             9999999999999031400     1499      675Census Tract 314 (part)                                                                                                                                                    
79954017798050010000901558262             9999999999999031600     2839     1187Census Tract 316 (part)                                                                                                                                                    
79954017798050010000901558262             9999999999999031700     1910      848Census Tract 317 (part)                                                                                                                                                    
79654017798050010002901560574                                    30676    14541Hancock County                                                                                                                                                             
79854017798050010002901560574             1507602390576           2585     1381Chester city                                                                                                                                                               
