795560177980700100                                              108389    54639Sheridan, Park, Teton, Lincoln & Big Horn Counties PUMA                                                                                                                    
79656017798070010000301605067                                    11668     5379Big Horn County                                                                                                                                                            
79856017798070010000301605067             0532002411666           1285      571Basin town                                                                                                                                                                 
79956017798070010000301605067             0532002411666962600     1285      571Census Tract 9626 (part)                                                                                                                                                   
79856017798070010000301605067             1112002411745            288       95Burlington town                                                                                                                                                            
79956017798070010000301605067             1112002411745962700      288       95Census Tract 9627 (part)                                                                                                                                                   
79856017798070010000301605067             1170002413146            593      238Byron town                                                                                                                                                                 
79956017798070010000301605067             1170002413146962800      593      238Census Tract 9628 (part)                                                                                                                                                   
79856017798070010000301605067             1764502412379            655      250Cowley town                                                                                                                                                                
79956017798070010000301605067             1764502412379962800      655      250Census Tract 9628 (part)                                                                                                                                                   
79856017798070010000301605067             1953002412413            178       84Deaver town                                                                                                                                                                
79956017798070010000301605067             1953002412413962800      178       84Census Tract 9628 (part)                                                                                                                                                   
79856017798070010000301605067             2982502412654            138       65Frannie town (part)                                                                                                                                                        
79956017798070010000301605067             2982502412654962800      138       65Census Tract 9628 (part)                                                                                                                                                   
79856017798070010000301605067             3388502412710           1847      879Greybull town                                                                                                                                                              
79956017798070010000301605067             3388502412710962700     1847      879Census Tract 9627 (part)                                                                                                                                                   
79856017798070010000301605067             3939502408412             75       68Hyattville CDP                                                                                                                                                             
79956017798070010000301605067             3939502408412962600       75       68Census Tract 9626 (part)                                                                                                                                                   
79856017798070010000301605067             4795002412922           2360     1013Lovell town                                                                                                                                                                
79956017798070010000301605067             4795002412922962800     2360     1013Census Tract 9628 (part)                                                                                                                                                   
79856017798070010000301605067             4998002412940            114       56Manderson town                                                                                                                                                             
79956017798070010000301605067             4998002412940962600      114       56Census Tract 9626 (part)                                                                                                                                                   
79856017798070010000301605067             6970002629282             83       50Shell CDP                                                                                                                                                                  
79956017798070010000301605067             6970002629282962600       51       29Census Tract 9626 (part)                                                                                                                                                   
79956017798070010000301605067             6970002629282962700       32       21Census Tract 9627 (part)                                                                                                                                                   
79856017798070010000301605067             9999999999999           4052     2010Remainder of Big Horn County                                                                                                                                               
79956017798070010000301605067             9999999999999962600     1017      624Census Tract 9626 (part)                                                                                                                                                   
79956017798070010000301605067             9999999999999962700     1388      646Census Tract 9627 (part)                                                                                                                                                   
79956017798070010000301605067             9999999999999962800     1647      740Census Tract 9628 (part)                                                                                                                                                   
79656017798070010002301605076                                    18106     8946Lincoln County                                                                                                                                                             
79856017798070010002301605076             0024502412337           1911      855Afton town                                                                                                                                                                 
79956017798070010002301605076             0024502412337978100     1911      855Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             0169502412353            828      449Alpine town                                                                                                                                                                
79956017798070010002301605076             0169502412353978000      828      449Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             0188802407727            196      136Alpine Northeast CDP                                                                                                                                                       
79956017798070010002301605076             0188802407727978000      196      136Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             0193602407728            244      178Alpine Northwest CDP                                                                                                                                                       
79956017798070010002301605076             0193602407728978000      244      178Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             0416002407780            328      124Auburn CDP                                                                                                                                                                 
79956017798070010002301605076             0416002407780978100      328      124Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             0604502407821            201       76Bedford CDP                                                                                                                                                                
79956017798070010002301605076             0604502407821978000      201       76Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             1590502413222            535      200Cokeville town                                                                                                                                                             
79956017798070010002301605076             1590502413222978200      535      200Census Tract 9782 (part)                                                                                                                                                   
79856017798070010002301605076             2011002412427            737      363Diamondville town                                                                                                                                                          
79956017798070010002301605076             2011002412427978400      737      363Census Tract 9784 (part)                                                                                                                                                   
79856017798070010002301605076             2547502408093            164       71Etna CDP                                                                                                                                                                   
79956017798070010002301605076             2547502408093978000      164       71Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             2591002408105            275      107Fairview CDP                                                                                                                                                               
79956017798070010002301605076             2591002408105978100      275      107Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             2765002408223             13        7Fontenelle CDP                                                                                                                                                             
79956017798070010002301605076             2765002408223978200       13        7Census Tract 9782 (part)                                                                                                                                                   
79856017798070010002301605076             3011502631321            214       92Freedom CDP                                                                                                                                                                
79956017798070010002301605076             3011502631321978000      214       92Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             3403002408340            147       63Grover CDP                                                                                                                                                                 
79956017798070010002301605076             3403002408340978100      147       63Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             4200502410176           2656     1265Kemmerer city                                                                                                                                                              
79956017798070010002301605076             4200502410176978200        4        1Census Tract 9782 (part)                                                                                                                                                   
79956017798070010002301605076             4200502410176978400     2652     1264Census Tract 9784 (part)                                                                                                                                                   
79856017798070010002301605076             4345502412851            551      290La Barge town                                                                                                                                                              
79956017798070010002301605076             4345502412851978200      551      290Census Tract 9782 (part)                                                                                                                                                   
79856017798070010002301605076             5652002631322            602      262Nordic CDP                                                                                                                                                                 
79956017798070010002301605076             5652002631322978000      602      262Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             5737502408969             49       20Oakley CDP                                                                                                                                                                 
79956017798070010002301605076             5737502408969978400       49       20Census Tract 9784 (part)                                                                                                                                                   
79856017798070010002301605076             5781002413082             96       51Opal town                                                                                                                                                                  
79956017798070010002301605076             5781002413082978200       96       51Census Tract 9782 (part)                                                                                                                                                   
79856017798070010002301605076             5897002585083            397      142Osmond CDP                                                                                                                                                                 
79956017798070010002301605076             5897002585083978100      397      142Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             7144002408750            195       79Smoot CDP                                                                                                                                                                  
79956017798070010002301605076             7144002408750978100      195       79Census Tract 9781 (part)                                                                                                                                                   
79856017798070010002301605076             7318002413329           1503      954Star Valley Ranch town                                                                                                                                                     
79956017798070010002301605076             7318002413329978000     1503      954Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             7557202410060             90       33Taylor CDP                                                                                                                                                                 
79956017798070010002301605076             7557202410060978200       90       33Census Tract 9782 (part)                                                                                                                                                   
79856017798070010002301605076             7637002413383            366      171Thayne town                                                                                                                                                                
79956017798070010002301605076             7637002413383978000      366      171Census Tract 9780 (part)                                                                                                                                                   
79856017798070010002301605076             7840002409365            192       96Turnerville CDP                                                                                                                                                            
