MSA Code,MSA Title,State FIPS Code,State Name,2000 PUMA Code,MSA 2010 Population,2000 PUMA Est. 2010 Population*,Intersection Est. 2010 Population*,Percent MSA Population,Percent PUMA Population
10180,"Abilene, TX",48,Texas,2700,"165,252","161,875","13,544",8.2,8.37
10180,"Abilene, TX",48,Texas,2800,"165,252","116,673","20,202",12.22,17.32
10180,"Abilene, TX",48,Texas,2900,"165,252","131,506","131,506",79.58,100
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,100,"339,441","142,949","142,949",42.11,100
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,200,"339,441","148,635","45,604",13.44,30.68
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,2100,"339,441","150,854","44,529",13.12,29.52
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,2200,"339,441","108,892","73,224",21.57,67.24
10380,"Aguadilla-Isabela, PR",72,Puerto Rico,2300,"339,441","122,305","33,135",9.76,27.09
10420,"Akron, OH",39,Ohio,1000,"703,200","161,446","161,419",22.95,99.98
10420,"Akron, OH",39,Ohio,1101,"703,200","112,618","112,618",16.02,100
10420,"Akron, OH",39,Ohio,1102,"703,200","121,772","121,772",17.32,100
10420,"Akron, OH",39,Ohio,1103,"703,200","108,254","108,254",15.39,100
10420,"Akron, OH",39,Ohio,1201,"703,200","102,649","102,649",14.6,100
10420,"Akron, OH",39,Ohio,1202,"703,200","96,488","96,488",13.72,100
10500,"Albany, GA",13,Georgia,4000,"157,308","122,863","122,863",78.1,100
10500,"Albany, GA",13,Georgia,4100,"157,308","140,616","34,445",21.9,24.5
10540,"Albany, OR",41,Oregon,600,"116,672","202,247","116,672",100,57.69
10580,"Albany-Schenectady-Troy, NY",36,New York,1900,"870,716","142,988","32,749",3.76,22.9
10580,"Albany-Schenectady-Troy, NY",36,New York,2100,"870,716","154,727","154,727",17.77,100
10580,"Albany-Schenectady-Troy, NY",36,New York,2201,"870,716","113,979","113,979",13.09,100
10580,"Albany-Schenectady-Troy, NY",36,New York,2202,"870,716","105,628","105,628",12.13,100
10580,"Albany-Schenectady-Troy, NY",36,New York,2300,"870,716","159,429","159,429",18.31,100
10580,"Albany-Schenectady-Troy, NY",36,New York,2401,"870,716","106,381","106,381",12.22,100
10580,"Albany-Schenectady-Troy, NY",36,New York,2402,"870,716","197,823","197,823",22.72,100
10740,"Albuquerque, NM",35,New Mexico,500,"887,077","207,603","207,603",23.4,100
10740,"Albuquerque, NM",35,New Mexico,601,"887,077","156,188","156,188",17.61,100
10740,"Albuquerque, NM",35,New Mexico,602,"887,077","106,158","106,158",11.97,100
10740,"Albuquerque, NM",35,New Mexico,603,"887,077","154,001","154,001",17.36,100
10740,"Albuquerque, NM",35,New Mexico,604,"887,077","102,884","102,884",11.6,100
10740,"Albuquerque, NM",35,New Mexico,605,"887,077","143,860","143,860",16.22,100
10740,"Albuquerque, NM",35,New Mexico,800,"887,077","109,465","16,383",1.85,14.97
10780,"Alexandria, LA",22,Louisiana,600,"153,922","125,814","22,309",14.49,17.73
10780,"Alexandria, LA",22,Louisiana,700,"153,922","131,613","131,613",85.51,100
10900,"Allentown-Bethlehem-Easton, PA-NJ",34,New Jersey,1700,"821,173","108,692","108,692",13.24,100
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,3600,"821,173","117,928","117,928",14.36,100
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,3701,"821,173","170,046","170,033",20.71,99.99
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,3702,"821,173","126,722","126,705",15.43,99.99
10900,"Allentown-Bethlehem-Easton, PA-NJ",42,Pennsylvania,3801,"821,173","131,884","131,884",16.06,100
