795080177977900100                                              110399    46324Northeast Colorado--Eastern Plains Region PUMA                                                                                                                             
79608017797790010001100198121                                     6499     2242Bent County                                                                                                                                                                
79808017797790010001100198121             3468502583243            144       79Hasty CDP                                                                                                                                                                  
79908017797790010001100198121             3468502583243966700      144       79Census Tract 9667 (part)                                                                                                                                                   
79808017797790010001100198121             4366002411628           2410     1214Las Animas city                                                                                                                                                            
79908017797790010001100198121             4366002411628966700     2410     1214Census Tract 9667 (part)                                                                                                                                                   
79808017797790010001100198121             9999999999999           3945      949Remainder of Bent County                                                                                                                                                   
79908017797790010001100198121             9999999999999966700     3945      949Census Tract 9667 (part)                                                                                                                                                   
79608017797790010001700198124                                     1836      975Cheyenne County                                                                                                                                                            
79808017797790010001700198124             1417502413197            846      429Cheyenne Wells town                                                                                                                                                        
79908017797790010001700198124             1417502413197960600      846      429Census Tract 9606 (part)                                                                                                                                                   
79808017797790010001700198124             4101002412842            233      146Kit Carson town                                                                                                                                                            
79908017797790010001700198124             4101002412842960600      233      146Census Tract 9606 (part)                                                                                                                                                   
79808017797790010001700198124             9999999999999            757      400Remainder of Cheyenne County                                                                                                                                               
79908017797790010001700198124             9999999999999960600      757      400Census Tract 9606 (part)                                                                                                                                                   
79608017797790010002500198128                                     5823     1559Crowley County                                                                                                                                                             
79808017797790010002500198128             1875002412394            176       88Crowley town                                                                                                                                                               
79908017797790010002500198128             1875002412394969600      176       88Census Tract 9696 (part)                                                                                                                                                   
79808017797790010002500198128             5570502413079            345      161Olney Springs town                                                                                                                                                         
79908017797790010002500198128             5570502413079969600      345      161Census Tract 9696 (part)                                                                                                                                                   
79808017797790010002500198128             5614502413090           1080      540Ordway town                                                                                                                                                                
79908017797790010002500198128             5614502413090969600     1080      540Census Tract 9696 (part)                                                                                                                                                   
79808017797790010002500198128             7481502413346            258      151Sugar City town                                                                                                                                                            
79908017797790010002500198128             7481502413346969600      258      151Census Tract 9696 (part)                                                                                                                                                   
79808017797790010002500198128             9999999999999           3964      619Remainder of Crowley County                                                                                                                                                
79908017797790010002500198128             9999999999999969600     3964      619Census Tract 9696 (part)                                                                                                                                                   
79608017797790010003900198136                                     3717     1733Elbert County (part)                                                                                                                                                       
79808017797790010003900198136             4079002412838            228      129Kiowa town (part)                                                                                                                                                          
79908017797790010003900198136             4079002412838961205      228      129Census Tract 9612.05 (part)                                                                                                                                                
79808017797790010003900198136             7063502413290            618      266Simla town                                                                                                                                                                 
79908017797790010003900198136             7063502413290961100      618      266Census Tract 9611 (part)                                                                                                                                                   
79808017797790010003900198136             9999999999999           2871     1338Remainder of Elbert County (part)                                                                                                                                          
79908017797790010003900198136             9999999999999961100     1392      692Census Tract 9611 (part)                                                                                                                                                   
79908017797790010003900198136             9999999999999961205     1479      646Census Tract 9612.05 (part)                                                                                                                                                
79608017797790010006100198146                                     1398      805Kiowa County                                                                                                                                                               
79808017797790010006100198146             0829002583215             21       12Brandon CDP                                                                                                                                                                
79908017797790010006100198146             0829002583215960100       21       12Census Tract 9601 (part)                                                                                                                                                   
79808017797790010006100198146             2214502412454            609      352Eads town                                                                                                                                                                  
79908017797790010006100198146             2214502412454960100      609      352Census Tract 9601 (part)                                                                                                                                                   
79808017797790010006100198146             3474002412734             68       41Haswell town                                                                                                                                                               
79908017797790010006100198146             3474002412734960100       68       41Census Tract 9601 (part)                                                                                                                                                   
79808017797790010006100198146             6970002413280             88       43Sheridan Lake town                                                                                                                                                         
79908017797790010006100198146             6970002413280960100       88       43Census Tract 9601 (part)                                                                                                                                                   
79808017797790010006100198146             7833502583306             22       17Towner CDP                                                                                                                                                                 
79908017797790010006100198146             7833502583306960100       22       17Census Tract 9601 (part)                                                                                                                                                   
