795130170531700100                                              144472    71050Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA                                                                                                 
79613017053170010003901671316                                    50513    21114Camden County                                                                                                                                                              
79813017053170010003901671316             4358002403176           1777      320Kings Bay Base CDP                                                                                                                                                         
79913017053170010003901671316             4358002403176010500     1777      320Census Tract 105 (part)                                                                                                                                                    
79813017053170010003901671316             4364002404833          15946     6506Kingsland city                                                                                                                                                             
79913017053170010003901671316             4364002404833010200        7        4Census Tract 102 (part)                                                                                                                                                    
79913017053170010003901671316             4364002404833010301     5304     2286Census Tract 103.01 (part)                                                                                                                                                 
79913017053170010003901671316             4364002404833010302     2711     1083Census Tract 103.02 (part)                                                                                                                                                 
79913017053170010003901671316             4364002404833010401     4836     1862Census Tract 104.01 (part)                                                                                                                                                 
79913017053170010003901671316             4364002404833010402     1881      809Census Tract 104.02 (part)                                                                                                                                                 
79913017053170010003901671316             4364002404833010403     1207      462Census Tract 104.03 (part)                                                                                                                                                 
79813017053170010003901671316             6798402405398          17121     7443St. Marys city                                                                                                                                                             
79913017053170010003901671316             6798402405398010301        0        0Census Tract 103.01 (part)                                                                                                                                                 
79913017053170010003901671316             6798402405398010401     5662     2266Census Tract 104.01 (part)                                                                                                                                                 
79913017053170010003901671316             6798402405398010402     2261      823Census Tract 104.02 (part)                                                                                                                                                 
79913017053170010003901671316             6798402405398010403     2409      995Census Tract 104.03 (part)                                                                                                                                                 
79913017053170010003901671316             6798402405398010500        0        0Census Tract 105 (part)                                                                                                                                                    
79913017053170010003901671316             6798402405398010601     6386     3151Census Tract 106.01 (part)                                                                                                                                                 
79913017053170010003901671316             6798402405398010602      403      208Census Tract 106.02 (part)                                                                                                                                                 
79813017053170010003901671316             8386802405778           1412      554Woodbine city                                                                                                                                                              
79913017053170010003901671316             8386802405778010200     1412      554Census Tract 102 (part)                                                                                                                                                    
79813017053170010003901671316             9999999999999          14257     6291Remainder of Camden County                                                                                                                                                 
79913017053170010003901671316             9999999999999010100     3114     1657Census Tract 101                                                                                                                                                           
79913017053170010003901671316             9999999999999010200     3689     1585Census Tract 102 (part)                                                                                                                                                    
79913017053170010003901671316             9999999999999010301     2614     1070Census Tract 103.01 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010302     1676      758Census Tract 103.02 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010401       65       25Census Tract 104.01 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010402     1275      548Census Tract 104.02 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010403      212      109Census Tract 104.03 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010500      980      217Census Tract 105 (part)                                                                                                                                                    
79913017053170010003901671316             9999999999999010601        0        0Census Tract 106.01 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999010602      632      322Census Tract 106.02 (part)                                                                                                                                                 
79913017053170010003901671316             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79613017053170010012701671513                                    79626    40716Glynn County                                                                                                                                                               
79813017053170010012701671513             1156002403944          15383     6832Brunswick city                                                                                                                                                             
79913017053170010012701671513             1156002403944000501     3336     1547Census Tract 5.01 (part)                                                                                                                                                   
79913017053170010012701671513             1156002403944000503      582      261Census Tract 5.03 (part)                                                                                                                                                   
79913017053170010012701671513             1156002403944000700     3256     1443Census Tract 7 (part)                                                                                                                                                      
79913017053170010012701671513             1156002403944000800     4159     1637Census Tract 8                                                                                                                                                             
79913017053170010012701671513             1156002403944000900     4050     1944Census Tract 9                                                                                                                                                             
79813017053170010012701671513             1983002402800           8545     3909Country Club Estates CDP                                                                                                                                                   
79913017053170010012701671513             1983002402800000403     1225      560Census Tract 4.03 (part)                                                                                                                                                   
79913017053170010012701671513             1983002402800000501        8        3Census Tract 5.01 (part)                                                                                                                                                   
