795470132587300100                                              142243    62384Northwest Tennessee--Gibson, Dyer, Obion, Crockett & Lake Counties PUMA                                                                                                    
79647013258730010003301648574                                    14586     6425Crockett County                                                                                                                                                            
79847013258730010003301648574             0044002405126           2461     1064Alamo town                                                                                                                                                                 
79947013258730010003301648574             0044002405126961100     2461     1064Census Tract 9611 (part)                                                                                                                                                   
79847013258730010003301648574             0472002403848           2437     1047Bells city                                                                                                                                                                 
79947013258730010003301648574             0472002403848961400     2437     1047Census Tract 9614 (part)                                                                                                                                                   
79847013258730010003301648574             2796002403665            668      285Friendship city                                                                                                                                                            
79947013258730010003301648574             2796002403665961200      668      285Census Tract 9612 (part)                                                                                                                                                   
79847013258730010003301648574             2838002406535            470      224Gadsden town                                                                                                                                                               
79947013258730010003301648574             2838002406535961000      470      224Census Tract 9610 (part)                                                                                                                                                   
79847013258730010003301648574             4654002406109            674      327Maury City town                                                                                                                                                            
79947013258730010003301648574             4654002406109961300      674      327Census Tract 9613 (part)                                                                                                                                                   
79847013258730010003301648574             9999999999999           7876     3478Remainder of Crockett County                                                                                                                                               
79947013258730010003301648574             9999999999999961000     1798      785Census Tract 9610 (part)                                                                                                                                                   
79947013258730010003301648574             9999999999999961100     1786      775Census Tract 9611 (part)                                                                                                                                                   
79947013258730010003301648574             9999999999999961200     1227      546Census Tract 9612 (part)                                                                                                                                                   
79947013258730010003301648574             9999999999999961300     1681      782Census Tract 9613 (part)                                                                                                                                                   
79947013258730010003301648574             9999999999999961400     1384      590Census Tract 9614 (part)                                                                                                                                                   
79647013258730010004501639741                                    38335    16703Dyer County                                                                                                                                                                
79847013258730010004501639741             2220002403525          17145     7730Dyersburg city                                                                                                                                                             
79947013258730010004501639741             2220002403525964200     5665     2790Census Tract 9642 (part)                                                                                                                                                   
79947013258730010004501639741             2220002403525964300     5344     2357Census Tract 9643 (part)                                                                                                                                                   
79947013258730010004501639741             2220002403525964400     5748     2442Census Tract 9644 (part)                                                                                                                                                   
79947013258730010004501639741             2220002403525964800        0        0Census Tract 9648 (part)                                                                                                                                                   
79947013258730010004501639741             2220002403525964900      388      141Census Tract 9649 (part)                                                                                                                                                   
79847013258730010004501639741             5240002406983           3313     1440Newbern town                                                                                                                                                               
79947013258730010004501639741             5240002406983964000     3313     1440Census Tract 9640 (part)                                                                                                                                                   
79847013258730010004501639741             7516002406754            634      303Trimble town (part)                                                                                                                                                        
79947013258730010004501639741             7516002406754964000      634      303Census Tract 9640 (part)                                                                                                                                                   
79847013258730010004501639741             9999999999999          17243     7230Remainder of Dyer County                                                                                                                                                   
79947013258730010004501639741             9999999999999964000     3031     1207Census Tract 9640 (part)                                                                                                                                                   
79947013258730010004501639741             9999999999999964200      190       74Census Tract 9642 (part)                                                                                                                                                   
79947013258730010004501639741             9999999999999964300      296      133Census Tract 9643 (part)                                                                                                                                                   
79947013258730010004501639741             9999999999999964400      672      284Census Tract 9644 (part)                                                                                                                                                   
79947013258730010004501639741             9999999999999964500     2346      952Census Tract 9645                                                                                                                                                          
79947013258730010004501639741             9999999999999964600     2716     1196Census Tract 9646                                                                                                                                                          
79947013258730010004501639741             9999999999999964800     3415     1486Census Tract 9648 (part)                                                                                                                                                   
79947013258730010004501639741             9999999999999964900     4577     1898Census Tract 9649 (part)                                                                                                                                                   
79647013258730010005301639745                                    49683    21999Gibson County                                                                                                                                                              
79847013258730010005301639745             0786002405311           1048      480Bradford town                                                                                                                                                              
79947013258730010005301639745             0786002405311967400     1048      480Census Tract 9674 (part)                                                                                                                                                   
79847013258730010005301639745             2218002403524           2341     1035Dyer city                                                                                                                                                                  
79947013258730010005301639745             2218002403524966200     2341     1035Census Tract 9662 (part)                                                                                                                                                   
79847013258730010005301639745             2902002406563            396      168Gibson town                                                                                                                                                                
79947013258730010005301639745             2902002406563966600      396      168Census Tract 9666 (part)                                                                                                                                                   
79847013258730010005301639745             3646002404741           8374     3925Humboldt city (part)                                                                                                                                                       
79947013258730010005301639745             3646002404741966900     2406     1233Census Tract 9669 (part)                                                                                                                                                   
79947013258730010005301639745             3646002404741967000     5968     2692Census Tract 9670 (part)                                                                                                                                                   
79847013258730010005301639745             3914002405938            739      343Kenton town (part)                                                                                                                                                         
79947013258730010005301639745             3914002405938966100      739      343Census Tract 9661 (part)                                                                                                                                                   
79847013258730010005301639745             4700002405062           3479     1298Medina city                                                                                                                                                                
79947013258730010005301639745             4700002405062967100     3479     1298Census Tract 9671 (part)                                                                                                                                                   
79847013258730010005301639745             4866002404259           7851     3581Milan city                                                                                                                                                                 
79947013258730010005301639745             4866002404259966400     2986     1369Census Tract 9664 (part)                                                                                                                                                   
79947013258730010005301639745             4866002404259966500     4865     2212Census Tract 9665 (part)                                                                                                                                                   
79947013258730010005301639745             4866002404259980100        0        0Census Tract 9801 (part)                                                                                                                                                   
79847013258730010005301639745             6576002407260           1151      569Rutherford town                                                                                                                                                            
79947013258730010005301639745             6576002407260966100     1151      569Census Tract 9661 (part)                                                                                                                                                   
79847013258730010005301639745             7500002405602           4264     2046Trenton city                                                                                                                                                               
79947013258730010005301639745             7500002405602966300      197       88Census Tract 9663 (part)                                                                                                                                                   
79947013258730010005301639745             7500002405602966700     4067     1958Census Tract 9667 (part)                                                                                                                                                   
79847013258730010005301639745             8236002405071            286      121Yorkville city                                                                                                                                                             
79947013258730010005301639745             8236002405071967300      286      121Census Tract 9673 (part)                                                                                                                                                   
79847013258730010005301639745             9999999999999          19754     8433Remainder of Gibson County                                                                                                                                                 
79947013258730010005301639745             9999999999999966100      678      275Census Tract 9661 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966200     1371      581Census Tract 9662 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966300     2412     1019Census Tract 9663 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966400     2211      988Census Tract 9664 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966500     1186      509Census Tract 9665 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966600     1429      601Census Tract 9666 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966700     1858      787Census Tract 9667 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999966800     1273      583Census Tract 9668                                                                                                                                                          
79947013258730010005301639745             9999999999999966900      252      123Census Tract 9669 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999967000     1243      533Census Tract 9670 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999967100     2371      901Census Tract 9671 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999967300      879      415Census Tract 9673 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999967400     2587     1117Census Tract 9674 (part)                                                                                                                                                   
79947013258730010005301639745             9999999999999980100        4        1Census Tract 9801 (part)                                                                                                                                                   
79647013258730010009501639762                                     7832     2598Lake County                                                                                                                                                                
79847013258730010009501639762             6306002407215           1795      785Ridgely town                                                                                                                                                               
79947013258730010009501639762             6306002407215960200     1795      785Census Tract 9602 (part)                                                                                                                                                   
79847013258730010009501639762             7454002406738           4464     1000Tiptonville town                                                                                                                                                           
79947013258730010009501639762             7454002406738960100     4464     1000Census Tract 9601 (part)                                                                                                                                                   
79847013258730010009501639762             9999999999999           1573      813Remainder of Lake County                                                                                                                                                   
79947013258730010009501639762             9999999999999960100     1026      582Census Tract 9601 (part)                                                                                                                                                   
79947013258730010009501639762             9999999999999960200      547      231Census Tract 9602 (part)                                                                                                                                                   
79647013258730010013101639779                                    31807    14659Obion County                                                                                                                                                               
79847013258730010013101639779             3600002405863            424      199Hornbeak town                                                                                                                                                              
79947013258730010013101639779             3600002405863965300      424      199Census Tract 9653 (part)                                                                                                                                                   
79847013258730010013101639779             3914002405938            542      268Kenton town (part)                                                                                                                                                         
79947013258730010013101639779             3914002405938965900      542      268Census Tract 9659 (part)                                                                                                                                                   
79847013258730010013101639779             5524002407030           1119      522Obion town                                                                                                                                                                 
79947013258730010013101639779             5524002407030965400     1119      522Census Tract 9654 (part)                                                                                                                                                   
79847013258730010013101639779             6380002407227            326      131Rives town                                                                                                                                                                 
79947013258730010013101639779             6380002407227965700        0        0Census Tract 9657 (part)                                                                                                                                                   
79947013258730010013101639779             6380002407227965800      326      131Census Tract 9658 (part)                                                                                                                                                   
79847013258730010013101639779             6636002407281            217      139Samburg town                                                                                                                                                               
79947013258730010013101639779             6636002407281965300      217      139Census Tract 9653 (part)                                                                                                                                                   
79847013258730010013101639779             6990002405490           2354     1186South Fulton city                                                                                                                                                          
79947013258730010013101639779             6990002405490965000     2354     1186Census Tract 9650 (part)                                                                                                                                                   
79847013258730010013101639779             7516002406754              3        2Trimble town (part)                                                                                                                                                        
79947013258730010013101639779             7516002406754965900        3        2Census Tract 9659 (part)                                                                                                                                                   
79847013258730010013101639779             7524002406758           1371      605Troy town                                                                                                                                                                  
79947013258730010013101639779             7524002406758965400     1371      605Census Tract 9654 (part)                                                                                                                                                   
79947013258730010013101639779             7524002406758965800        0        0Census Tract 9658 (part)                                                                                                                                                   
79847013258730010013101639779             7594002405626          10895     5095Union City city                                                                                                                                                            
79947013258730010013101639779             7594002405626965100       97       39Census Tract 9651 (part)                                                                                                                                                   
79947013258730010013101639779             7594002405626965500     2418     1112Census Tract 9655 (part)                                                                                                                                                   
79947013258730010013101639779             7594002405626965600     3951     1887Census Tract 9656 (part)                                                                                                                                                   
79947013258730010013101639779             7594002405626965700     4429     2057Census Tract 9657 (part)                                                                                                                                                   
79847013258730010013101639779             8170002405784            378      161Woodland Mills city                                                                                                                                                        
79947013258730010013101639779             8170002405784965100      378      161Census Tract 9651 (part)                                                                                                                                                   
79847013258730010013101639779             9999999999999          14178     6351Remainder of Obion County                                                                                                                                                  
79947013258730010013101639779             9999999999999965000     1979      893Census Tract 9650 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965100     2030      863Census Tract 9651 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965200     2165      952Census Tract 9652                                                                                                                                                          
79947013258730010013101639779             9999999999999965300     3093     1500Census Tract 9653 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965400     1939      814Census Tract 9654 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965500      252      106Census Tract 9655 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965600      130       61Census Tract 9656 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965700      308      126Census Tract 9657 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965800     1470      657Census Tract 9658 (part)                                                                                                                                                   
79947013258730010013101639779             9999999999999965900      812      379Census Tract 9659 (part)                                                                                                                                                   
795470132587300200                                              139326    67761Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties PUMA                                                                                 
79647013258730020000501639724                                    16489     8975Benton County                                                                                                                                                              
79847013258730020000501639724             0586002405262            557      306Big Sandy town                                                                                                                                                             
79947013258730020000501639724             0586002405262963000      557      306Census Tract 9630 (part)                                                                                                                                                   
79847013258730020000501639724             1056002403977           3582     1753Camden city                                                                                                                                                                
79947013258730020000501639724             1056002403977963100       29        9Census Tract 9631 (part)                                                                                                                                                   
