795490145598903001                                              108193    36781Tooele & Box Elder Counties PUMA                                                                                                                                           
79649014559890300100301455966                                    49975    17326Box Elder County                                                                                                                                                           
79849014559890300100301455966             0395002409803            853      285Bear River City city                                                                                                                                                       
79949014559890300100301455966             0395002409803960400      853      285Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             0846002409910          17899     6350Brigham City city                                                                                                                                                          
79949014559890300100301455966             0846002409910960200        0        0Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             0846002409910960500     4696     1627Census Tract 9605 (part)                                                                                                                                                   
79949014559890300100301455966             0846002409910960601     3720     1395Census Tract 9606.01                                                                                                                                                       
79949014559890300100301455966             0846002409910960602     2347      762Census Tract 9606.02 (part)                                                                                                                                                
79949014559890300100301455966             0846002409910960701     4765     1661Census Tract 9607.01                                                                                                                                                       
79949014559890300100301455966             0846002409910960702     2281      861Census Tract 9607.02                                                                                                                                                       
79949014559890300100301455966             0846002409910960801        7        4Census Tract 9608.01 (part)                                                                                                                                                
79949014559890300100301455966             0846002409910960802       83       40Census Tract 9608.02 (part)                                                                                                                                                
79849014559890300100301455966             1583002410228            685      241Corinne city                                                                                                                                                               
79949014559890300100301455966             1583002410228960400      685      241Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             1968002412425            332      129Deweyville town                                                                                                                                                            
79949014559890300100301455966             1968002412425960200      332      129Census Tract 9602 (part)                                                                                                                                                   
79849014559890300100301455966             2276002412482           1034      308Elwood town                                                                                                                                                                
79949014559890300100301455966             2276002412482960200        0        0Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             2276002412482960300      631      181Census Tract 9603 (part)                                                                                                                                                   
79949014559890300100301455966             2276002412482960400      403      127Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             2529002412625            455      157Fielding town                                                                                                                                                              
79949014559890300100301455966             2529002412625960200      455      157Census Tract 9602 (part)                                                                                                                                                   
79849014559890300100301455966             2815002410573           2400      772Garland city                                                                                                                                                               
79949014559890300100301455966             2815002410573960100       37       13Census Tract 9601 (part)                                                                                                                                                   
79949014559890300100301455966             2815002410573960200     2331      750Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             2815002410573960300       32        9Census Tract 9603 (part)                                                                                                                                                   
79849014559890300100301455966             3629002410786           1441      462Honeyville city                                                                                                                                                            
79949014559890300100301455966             3629002410786960200     1360      439Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             3629002410786960400       81       23Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             3662002412774            245       98Howell town                                                                                                                                                                
79949014559890300100301455966             3662002412774960100      245       98Census Tract 9601 (part)                                                                                                                                                   
79849014559890300100301455966             4784002412947            687      251Mantua town                                                                                                                                                                
79949014559890300100301455966             4784002412947960602       26       10Census Tract 9606.02 (part)                                                                                                                                                
79949014559890300100301455966             4784002412947960801      661      241Census Tract 9608.01 (part)                                                                                                                                                
79849014559890300100301455966             5939002411405           4512     1427Perry city                                                                                                                                                                 
79949014559890300100301455966             5939002411405960500        0        0Census Tract 9605 (part)                                                                                                                                                   
79949014559890300100301455966             5939002411405960801      155       56Census Tract 9608.01 (part)                                                                                                                                                
79949014559890300100301455966             5939002411405960802     4357     1371Census Tract 9608.02 (part)                                                                                                                                                
79849014559890300100301455966             6126002412492            414      137Plymouth town                                                                                                                                                              
79949014559890300100301455966             6126002412492960100      414      137Census Tract 9601 (part)                                                                                                                                                   
79849014559890300100301455966             6159002412497            245      100Portage town                                                                                                                                                               
79949014559890300100301455966             6159002412497960100      245      100Census Tract 9601 (part)                                                                                                                                                   
79849014559890300100301455966             6423002409189            760      262Riverside CDP                                                                                                                                                              
79949014559890300100301455966             6423002409189960200      760      262Census Tract 9602 (part)                                                                                                                                                   
79849014559890300100301455966             6997002413303            167       67Snowville town                                                                                                                                                             
79949014559890300100301455966             6997002413303960100      167       67Census Tract 9601 (part)                                                                                                                                                   
79849014559890300100301455966             7125502408779           1571      501South Willard CDP                                                                                                                                                          
79949014559890300100301455966             7125502408779960801     1571      501Census Tract 9608.01 (part)                                                                                                                                                
79849014559890300100301455966             7580002584779            789      230Thatcher CDP                                                                                                                                                               
79949014559890300100301455966             7580002584779960100      550      152Census Tract 9601 (part)                                                                                                                                                   
79949014559890300100301455966             7580002584779960400      239       78Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             7712002412091           7647     2581Tremonton city                                                                                                                                                             
79949014559890300100301455966             7712002412091960100      333       99Census Tract 9601 (part)                                                                                                                                                   
79949014559890300100301455966             7712002412091960200        0        0Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             7712002412091960300     7284     2473Census Tract 9603 (part)                                                                                                                                                   
79949014559890300100301455966             7712002412091960400       30        9Census Tract 9604 (part)                                                                                                                                                   
79849014559890300100301455966             8471002412265           1772      633Willard city                                                                                                                                                               
79949014559890300100301455966             8471002412265960500        0        0Census Tract 9605 (part)                                                                                                                                                   
79949014559890300100301455966             8471002412265960801     1772      633Census Tract 9608.01 (part)                                                                                                                                                
79849014559890300100301455966             9999999999999           6067     2335Remainder of Box Elder County                                                                                                                                              
79949014559890300100301455966             9999999999999960100     1161      670Census Tract 9601 (part)                                                                                                                                                   
79949014559890300100301455966             9999999999999960200     1663      566Census Tract 9602 (part)                                                                                                                                                   
79949014559890300100301455966             9999999999999960300      239       85Census Tract 9603 (part)                                                                                                                                                   
79949014559890300100301455966             9999999999999960400     2581      869Census Tract 9604 (part)                                                                                                                                                   
79949014559890300100301455966             9999999999999960500      327      112Census Tract 9605 (part)                                                                                                                                                   
79949014559890300100301455966             9999999999999960602       56       21Census Tract 9606.02 (part)                                                                                                                                                
79949014559890300100301455966             9999999999999960801       40       12Census Tract 9608.01 (part)                                                                                                                                                
79949014559890300100301455966             9999999999999960802        0        0Census Tract 9608.02 (part)                                                                                                                                                
79649014559890300104501448036                                    58218    19455Tooele County                                                                                                                                                              
79849014559890300104501448036             2045002408694            795      504Dugway CDP                                                                                                                                                                 
79949014559890300104501448036             2045002408694130600      795      504Census Tract 1306 (part)                                                                                                                                                   
79849014559890300104501448036             2364002408086           4642     1306Erda CDP                                                                                                                                                                   
79949014559890300104501448036             2364002408086130701      846      235Census Tract 1307.01 (part)                                                                                                                                                
79949014559890300104501448036             2364002408086130702     3796     1071Census Tract 1307.02 (part)                                                                                                                                                
79849014559890300104501448036             3112002410648           8893     2916Grantsville city                                                                                                                                                           
79949014559890300104501448036             3112002410648130702      381      116Census Tract 1307.02 (part)                                                                                                                                                
79949014559890300104501448036             3112002410648130703     3154      908Census Tract 1307.03 (part)                                                                                                                                                
79949014559890300104501448036             3112002410648130800     5358     1892Census Tract 1308 (part)                                                                                                                                                   
79849014559890300104501448036             5675002413086             38       35Ophir town                                                                                                                                                                 
79949014559890300104501448036             5675002413086130703       38       35Census Tract 1307.03 (part)                                                                                                                                                
79849014559890300104501448036             6524002412585            447      188Rush Valley town                                                                                                                                                           
79949014559890300104501448036             6524002412585130703      447      188Census Tract 1307.03 (part)                                                                                                                                                
79849014559890300104501448036             7272002409995           5145     1505Stansbury Park CDP                                                                                                                                                         
79949014559890300104501448036             7272002409995130702     5145     1505Census Tract 1307.02 (part)                                                                                                                                                
79849014559890300104501448036             7305002413337            616      237Stockton town                                                                                                                                                              
79949014559890300104501448036             7305002413337130703      616      237Census Tract 1307.03 (part)                                                                                                                                                
79849014559890300104501448036             7668002412084          31605    10646Tooele city                                                                                                                                                                
79949014559890300104501448036             7668002412084130701      845      215Census Tract 1307.01 (part)                                                                                                                                                
79949014559890300104501448036             7668002412084130702     3590      963Census Tract 1307.02 (part)                                                                                                                                                
79949014559890300104501448036             7668002412084130703      761      230Census Tract 1307.03 (part)                                                                                                                                                
79949014559890300104501448036             7668002412084130900     4618     1699Census Tract 1309                                                                                                                                                          
79949014559890300104501448036             7668002412084131001     2654      730Census Tract 1310.01 (part)                                                                                                                                                
79949014559890300104501448036             7668002412084131002     8322     2856Census Tract 1310.02                                                                                                                                                       
79949014559890300104501448036             7668002412084131100     7415     2681Census Tract 1311 (part)                                                                                                                                                   
79949014559890300104501448036             7668002412084131200     3400     1272Census Tract 1312                                                                                                                                                          
79849014559890300104501448036             8020002413430            243       89Vernon town                                                                                                                                                                
79949014559890300104501448036             8020002413430130703      243       89Census Tract 1307.03 (part)                                                                                                                                                
79849014559890300104501448036             8273002412214           1400      589Wendover city                                                                                                                                                              
79949014559890300104501448036             8273002412214130600     1400      589Census Tract 1306 (part)                                                                                                                                                   
79849014559890300104501448036             9999999999999           4394     1440Remainder of Tooele County                                                                                                                                                 
79949014559890300104501448036             9999999999999130600      282      160Census Tract 1306 (part)                                                                                                                                                   
79949014559890300104501448036             9999999999999130701     1645      528Census Tract 1307.01 (part)                                                                                                                                                
79949014559890300104501448036             9999999999999130702      721      181Census Tract 1307.02 (part)                                                                                                                                                
79949014559890300104501448036             9999999999999130703     1738      569Census Tract 1307.03 (part)                                                                                                                                                
79949014559890300104501448036             9999999999999130800        8        2Census Tract 1308 (part)                                                                                                                                                   
79949014559890300104501448036             9999999999999131001        0        0Census Tract 1310.01 (part)                                                                                                                                                
79949014559890300104501448036             9999999999999131100        0        0Census Tract 1311 (part)                                                                                                                                                   
79949014559890300104501448036             9999999999999980000        0        0Census Tract 9800                                                                                                                                                          
795490145598905001                                              160713    69409Cache, Summit, Morgan & Rich Counties PUMA                                                                                                                                 
79649014559890500100501448017                                   112656    37024Cache County                                                                                                                                                               
79849014559890500100501448017             0109002412359            488      146Amalga town                                                                                                                                                                
79949014559890500100501448017             0109002412359000300      488      146Census Tract 3 (part)                                                                                                                                                      
79849014559890500100501448017             0296002407786            367      116Avon CDP                                                                                                                                                                   
79949014559890500100501448017             0296002407786001500      367      116Census Tract 15 (part)                                                                                                                                                     
79849014559890500100501448017             0505002407829           1485      455Benson CDP                                                                                                                                                                 
79949014559890500100501448017             0505002407829000300     1485      455Census Tract 3 (part)                                                                                                                                                      
79849014559890500100501448017             0972502407937             38       16Cache CDP                                                                                                                                                                  
79949014559890500100501448017             0972502407937000300       38       16Census Tract 3 (part)                                                                                                                                                      
79849014559890500100501448017             1319002413207            666      233Clarkston town                                                                                                                                                             
79949014559890500100501448017             1319002413207000102      666      233Census Tract 1.02 (part)                                                                                                                                                   
79849014559890500100501448017             1594002413244            288       88Cornish town                                                                                                                                                               
79949014559890500100501448017             1594002413244000102      288       88Census Tract 1.02 (part)                                                                                                                                                   
79849014559890500100501448017             1649002407674            460      148Cove CDP                                                                                                                                                                   
79949014559890500100501448017             1649002407674000101      460      148Census Tract 1.01 (part)                                                                                                                                                   
79849014559890500100501448017             3739002410087           3833     1101Hyde Park city                                                                                                                                                             
79949014559890500100501448017             3739002410087000402      357      106Census Tract 4.02 (part)                                                                                                                                                   
79949014559890500100501448017             3739002410087000403     3476      995Census Tract 4.03 (part)                                                                                                                                                   
79849014559890500100501448017             3750002410088           7609     2200Hyrum city                                                                                                                                                                 
79949014559890500100501448017             3750002410088001201       51       14Census Tract 12.01 (part)                                                                                                                                                  
79949014559890500100501448017             3750002410088001401     3930     1107Census Tract 14.01 (part)                                                                                                                                                  
79949014559890500100501448017             3750002410088001402     3498     1033Census Tract 14.02 (part)                                                                                                                                                  
79949014559890500100501448017             3750002410088001500      130       46Census Tract 15 (part)                                                                                                                                                     
79849014559890500100501448017             4476002410826           1766      599Lewiston city                                                                                                                                                              
79949014559890500100501448017             4476002410826000101     1402      466Census Tract 1.01 (part)                                                                                                                                                   
79949014559890500100501448017             4476002410826000102      364      133Census Tract 1.02 (part)                                                                                                                                                   
79849014559890500100501448017             4586002410856          48174    16790Logan city                                                                                                                                                                 
