795720177980800101                                              168959    76202San Sebastián, Aguada, Moca, Añasco & Rincón Municipios--Carr 2-Carr 111 PUMA                                                                                              
79672017798080010100301804481                                    41959    18258Aguada Municipio                                                                                                                                                           
79872017798080010100301804481             0061602415288           3212     1648Aguada zona urbana                                                                                                                                                         
79972017798080010100301804481             0061602415288430200     1504      786Census Tract 4302 (part)                                                                                                                                                   
79972017798080010100301804481             0061602415288430300     1708      862Census Tract 4303 (part)                                                                                                                                                   
79872017798080010100301804481             4787302414870           2886     1205Luyando comunidad                                                                                                                                                          
79972017798080010100301804481             4787302414870430401     2785     1164Census Tract 4304.01 (part)                                                                                                                                                
79972017798080010100301804481             4787302414870430402      101       41Census Tract 4304.02 (part)                                                                                                                                                
79872017798080010100301804481             9999999999999          35861    15405Remainder of Aguada Municipio                                                                                                                                              
79972017798080010100301804481             9999999999999430100     4983     2099Census Tract 4301                                                                                                                                                          
79972017798080010100301804481             9999999999999430200     3884     1736Census Tract 4302 (part)                                                                                                                                                   
79972017798080010100301804481             9999999999999430300      938      512Census Tract 4303 (part)                                                                                                                                                   
79972017798080010100301804481             9999999999999430401     2122      904Census Tract 4304.01 (part)                                                                                                                                                
79972017798080010100301804481             9999999999999430402     5065     1969Census Tract 4304.02 (part)                                                                                                                                                
79972017798080010100301804481             9999999999999430501     6122     2515Census Tract 4305.01                                                                                                                                                       
79972017798080010100301804481             9999999999999430502     4840     2055Census Tract 4305.02                                                                                                                                                       
79972017798080010100301804481             9999999999999430601     4530     2024Census Tract 4306.01                                                                                                                                                       
79972017798080010100301804481             9999999999999430602     3377     1591Census Tract 4306.02                                                                                                                                                       
79972017798080010100301804481             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79672017798080010101101804485                                    29261    12755Añasco Municipio                                                                                                                                                           
79872017798080010101101804485             0268002415294           5075     2430Añasco zona urbana                                                                                                                                                         
79972017798080010101101804485             0268002415294810200      108       42Census Tract 8102 (part)                                                                                                                                                   
79972017798080010101101804485             0268002415294810300     2284      966Census Tract 8103 (part)                                                                                                                                                   
79972017798080010101101804485             0268002415294810400     1310      806Census Tract 8104                                                                                                                                                          
79972017798080010101101804485             0268002415294810500     1373      616Census Tract 8105 (part)                                                                                                                                                   
79872017798080010101101804485             2726302415357           1270      548Espino comunidad                                                                                                                                                           
79972017798080010101101804485             2726302415357810200     1270      548Census Tract 8102 (part)                                                                                                                                                   
79872017798080010101101804485             4206802414851           1900      944La Playa comunidad                                                                                                                                                         
79972017798080010101101804485             4206802414851810600        0        0Census Tract 8106 (part)                                                                                                                                                   
79972017798080010101101804485             4206802414851810700     1900      944Census Tract 8107 (part)                                                                                                                                                   
79872017798080010101101804485             4370202414856           2049      835Las Marías comunidad                                                                                                                                                       
79972017798080010101101804485             4370202414856810500     2049      835Census Tract 8105 (part)                                                                                                                                                   
79872017798080010101101804485             9999999999999          18967     7998Remainder of Añasco Municipio                                                                                                                                              
79972017798080010101101804485             9999999999999810100     3563     1502Census Tract 8101                                                                                                                                                          
79972017798080010101101804485             9999999999999810200     6329     2572Census Tract 8102 (part)                                                                                                                                                   
79972017798080010101101804485             9999999999999810300       54       21Census Tract 8103 (part)                                                                                                                                                   
79972017798080010101101804485             9999999999999810500     2557     1098Census Tract 8105 (part)                                                                                                                                                   
79972017798080010101101804485             9999999999999810600     4750     1933Census Tract 8106 (part)                                                                                                                                                   
79972017798080010101101804485             9999999999999810700     1714      872Census Tract 8107 (part)                                                                                                                                                   
79972017798080010101101804485             9999999999999990000        0        0Census Tract 9900                                                                                                                                                          
79672017798080010109901804530                                    40109    16800Moca Municipio                                                                                                                                                             
79872017798080010109901804530             0018602415286           1436      609Aceitunas comunidad                                                                                                                                                        
79972017798080010109901804530             0018602415286420100     1436      609Census Tract 4201 (part)                                                                                                                                                   
79872017798080010109901804530             5380702414881           3861     1755Moca zona urbana                                                                                                                                                           
79972017798080010109901804530             5380702414881420200     3851     1752Census Tract 4202 (part)                                                                                                                                                   
