MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFIPS,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000,United States,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
00999,United States (Nonmetropolitan Portion),86.540,86.898,88.713,88.536,88.719,88.967,88.869,88.661,87.890,87.616,89.245,89.363,88.309,88.830,88.532,88.222
10180,"Abilene, TX (Metropolitan Statistical Area)",92.141,89.362,92.924,92.455,94.061,92.484,94.554,92.854,93.274,93.778,92.299,92.414,90.300,91.698,91.498,89.849
10420,"Akron, OH (Metropolitan Statistical Area)",92.516,95.218,93.260,94.064,95.495,95.242,94.981,95.596,95.343,95.359,94.251,94.697,93.516,93.513,92.128,92.827
10500,"Albany, GA (Metropolitan Statistical Area)",86.450,85.598,87.231,87.701,87.383,88.070,88.432,88.002,89.286,87.291,86.489,84.164,83.820,89.335,86.109,86.405
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",99.418,100.044,96.995,96.246,96.604,96.850,98.775,98.770,98.926,98.937,103.270,102.987,102.699,101.924,104.629,104.609
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",102.702,102.243,99.947,100.752,99.537,101.729,99.398,100.813,101.234,100.700,99.785,99.409,98.968,98.923,96.510,97.583
10740,"Albuquerque, NM (Metropolitan Statistical Area)",96.951,99.030,97.411,100.439,99.593,98.316,98.456,96.757,96.592,98.087,93.886,95.085,94.170,92.207,93.359,92.958
10780,"Alexandria, LA (Metropolitan Statistical Area)",89.656,86.149,89.013,86.975,90.287,91.513,90.759,90.269,92.124,90.539,87.470,89.098,87.274,89.334,86.001,86.218
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",101.139,102.531,101.219,99.933,99.972,100.841,99.599,101.021,101.174,101.735,99.159,99.120,99.675,98.029,97.987,98.441
11020,"Altoona, PA (Metropolitan Statistical Area)",93.979,91.858,93.855,93.538,92.315,92.814,89.389,92.580,91.550,91.208,91.313,90.689,89.698,89.177,88.962,88.250
11100,"Amarillo, TX (Metropolitan Statistical Area)",95.758,93.480,94.908,96.365,96.146,96.434,96.303,96.972,97.180,96.153,93.249,94.144,94.486,93.505,91.511,90.812
11180,"Ames, IA (Metropolitan Statistical Area)",82.432,90.016,92.962,91.743,92.370,94.601,93.047,90.133,88.865,89.858,93.941,95.933,93.104,91.480,88.390,91.418
11260,"Anchorage, AK (Metropolitan Statistical Area)",106.497,111.877,106.339,106.800,107.244,106.488,104.878,105.709,108.069,107.790,106.421,104.796,103.209,106.648,103.071,104.547
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",103.617,101.281,101.112,100.370,100.911,100.181,102.545,100.189,98.313,98.476,99.227,100.666,98.551,99.479,97.895,97.968
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",88.183,83.439,88.756,90.883,90.739,90.376,89.684,91.107,90.796,88.603,85.153,87.594,85.738,83.736,84.149,87.218
11540,"Appleton, WI (Metropolitan Statistical Area)",97.180,94.687,95.241,94.253,94.644,95.330,94.454,93.448,92.975,92.079,93.497,93.720,92.295,93.416,91.883,93.597
11700,"Asheville, NC (Metropolitan Statistical Area)",93.254,91.313,92.787,93.416,94.194,94.121,94.439,93.052,95.330,93.836,93.043,94.083,93.197,94.674,94.604,96.129
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",94.180,94.312,94.643,94.358,93.307,93.404,93.443,92.845,93.722,93.834,90.561,90.639,90.216,94.428,93.416,93.278
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",98.050,95.036,98.159,96.474,99.106,98.215,98.449,97.997,98.375,99.406,98.205,98.117,98.759,99.098,98.695,100.933
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",109.833,106.972,106.868,105.629,105.424,102.238,101.473,103.255,102.384,97.846,99.748,97.033,100.638,96.914,98.510,97.170
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",90.259,88.370,89.257,92.103,91.046,91.028,91.290,88.686,90.198,89.605,88.933,90.668,89.329,89.625,88.838,88.857
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",91.031,90.536,92.179,93.622,93.428,93.209,92.464,93.202,93.588,92.418,91.449,90.261,89.676,91.915,91.740,91.030
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",99.535,98.820,99.643,100.264,100.914,100.728,101.331,101.521,102.530,101.755,99.056,99.354,101.120,99.993,98.779,97.620
12540,"Bakersfield, CA (Metropolitan Statistical Area)",96.860,100.256,98.203,100.410,101.069,99.651,99.592,97.653,96.487,98.433,101.824,101.133,100.329,100.876,104.429,102.247
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",106.479,109.632,106.282,108.833,106.496,106.751,105.727,105.967,106.109,107.598,105.228,103.912,105.337,104.935,102.463,102.672
12620,"Bangor, ME (Metropolitan Statistical Area)",94.057,92.313,96.698,93.968,96.401,99.617,92.178,92.895,93.464,94.693,93.979,96.632,97.535,96.754,96.554,91.466
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",102.987,102.986,105.416,99.507,101.008,100.116,104.688,105.896,105.926,105.852,101.140,105.259,101.252,101.325,108.741,105.815
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",93.116,91.746,93.302,94.593,94.178,94.841,94.706,94.625,95.602,93.957,92.812,92.821,93.129,93.171,92.380,90.802
12980,"Battle Creek, MI (Metropolitan Statistical Area)",94.660,94.526,92.348,92.673,94.241,93.407,94.149,91.815,91.940,91.009,91.981,91.841,90.706,90.415,89.484,88.228
13020,"Bay City, MI (Metropolitan Statistical Area)",94.169,93.934,92.528,92.722,93.199,93.396,92.940,91.070,92.094,89.357,92.709,92.444,88.748,91.466,88.212,90.565
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",93.352,91.438,92.600,94.691,93.317,94.398,94.485,92.680,94.732,92.365,91.643,92.350,90.150,93.004,91.050,90.238
13220,"Beckley, WV (Metropolitan Statistical Area)",83.426,78.228,84.848,84.022,83.559,87.226,87.481,87.508,83.244,84.784,86.199,86.306,83.444,89.356,88.173,89.644
13380,"Bellingham, WA (Metropolitan Statistical Area)",96.103,102.251,99.680,103.229,101.997,100.303,100.968,101.121,98.568,100.753,104.372,104.077,103.530,104.572,105.896,104.139
13460,"Bend, OR (Metropolitan Statistical Area)",100.501,99.416,96.993,96.441,96.623,97.073,99.270,102.189,100.621,102.690,103.604,103.852,104.184,102.858,108.002,105.810
13740,"Billings, MT (Metropolitan Statistical Area)",94.937,95.762,94.969,96.806,97.973,96.305,97.103,96.818,94.805,97.136,94.158,95.703,92.220,92.373,91.651,89.613
13780,"Binghamton, NY (Metropolitan Statistical Area)",97.272,97.323,98.079,97.661,95.001,95.995,94.979,96.078,96.215,97.889,96.014,93.847,96.904,94.276,92.087,91.630
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",93.064,91.990,93.632,94.856,94.184,94.579,93.747,93.603,94.478,93.398,90.432,91.271,91.821,90.810,91.328,92.569
13900,"Bismarck, ND (Metropolitan Statistical Area)",90.138,92.149,88.839,89.755,95.299,95.992,96.860,93.756,96.080,91.091,91.458,94.194,92.622,94.122,91.078,89.648
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",87.827,87.286,90.017,90.431,88.475,91.916,91.773,91.492,88.445,88.997,91.606,90.932,91.004,92.072,93.006,90.657
14010,"Bloomington, IL (Metropolitan Statistical Area)",96.964,95.903,97.452,95.554,96.416,95.298,95.673,94.732,93.921,92.888,94.328,95.082,92.697,92.854,92.547,92.002
14020,"Bloomington, IN (Metropolitan Statistical Area)",94.325,96.581,94.968,95.490,94.230,94.150,94.976,94.331,95.539,93.649,93.733,94.560,93.391,93.936,93.032,93.372
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",94.625,93.719,93.658,92.558,92.328,93.819,92.315,93.836,94.636,93.983,93.231,91.520,91.446,89.419,89.093,90.340
14260,"Boise City, ID (Metropolitan Statistical Area)",95.231,97.713,95.523,96.969,96.668,96.360,95.903,94.871,93.139,95.833,93.559,95.713,93.647,93.821,94.205,93.427
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",107.889,106.612,106.142,106.611,105.888,104.272,105.737,106.106,110.141,108.945,110.075,109.908,112.545,109.888,112.228,111.574
14500,"Boulder, CO (Metropolitan Statistical Area)",108.489,105.529,104.497,107.148,107.501,105.850,106.347,106.894,105.615,105.316,101.620,105.471,101.704,100.991,99.920,99.851
14540,"Bowling Green, KY (Metropolitan Statistical Area)",86.581,84.675,88.354,87.738,88.585,89.908,89.275,88.890,87.322,87.938,87.894,88.852,89.443,88.614,89.321,90.517
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",107.005,105.795,103.296,103.898,103.550,103.085,104.694,104.907,107.105,107.858,107.344,105.614,105.373,103.596,108.813,107.541
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",117.165,117.872,113.449,114.270,114.005,115.070,115.372,113.789,113.977,111.822,107.447,106.260,108.729,106.207,109.678,106.486
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",85.002,86.146,86.968,89.543,89.209,87.562,87.873,88.342,89.519,87.984,85.158,87.674,85.018,87.858,85.083,85.183
15260,"Brunswick, GA (Metropolitan Statistical Area)",88.161,86.276,89.628,88.687,89.859,89.729,90.913,89.523,89.202,89.353,91.748,86.719,88.967,90.109,91.416,89.710
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",97.276,98.030,96.440,96.300,96.247,97.372,94.963,97.926,97.628,97.348,95.549,94.546,94.151,94.800,93.926,94.393
15500,"Burlington, NC (Metropolitan Statistical Area)",92.470,91.837,92.423,93.433,93.292,93.814,92.678,93.156,92.151,92.184,91.436,90.435,89.723,89.428,92.005,92.748
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",103.270,104.979,102.247,102.072,102.772,103.394,99.615,103.011,102.256,103.752,102.167,104.545,105.055,102.518,106.214,100.040
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",97.964,95.207,98.315,99.756,99.038,99.957,99.743,100.121,99.472,94.755,98.133,96.274,98.193,96.488,99.817,100.247
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",93.421,92.148,92.669,91.281,92.235,92.035,91.996,91.150,90.419,90.252,90.836,91.068,88.869,89.718,88.739,88.539
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",99.901,96.992,97.316,97.666,97.848,97.889,98.546,99.105,101.011,99.439,99.253,97.823,98.106,99.956,101.810,102.565
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",81.284,83.022,87.864,86.974,88.567,89.525,88.207,86.372,86.220,85.249,87.823,90.054,88.852,88.502,86.172,86.324
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",81.082,84.878,85.977,88.513,88.097,86.758,87.103,86.830,85.906,82.744,87.827,88.699,87.572,86.432,86.805,87.243
16180,"Carson City, NV (Metropolitan Statistical Area)",99.866,95.466,97.469,97.432,95.155,96.399,97.452,99.187,96.078,97.804,94.775,98.555,94.872,94.074,94.441,94.056
16220,"Casper, WY (Metropolitan Statistical Area)",92.325,97.100,95.467,97.908,99.235,99.330,98.118,95.221,97.593,98.164,95.311,93.304,93.327,91.430,92.059,91.833
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",92.971,93.462,93.599,92.795,93.796,89.722,92.585,92.456,91.258,91.660,92.392,92.081,91.224,91.974,89.968,89.959
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",98.133,97.872,96.511,96.324,95.497,97.349,95.056,96.307,96.214,98.065,96.151,94.532,94.244,94.890,93.826,93.925
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",97.391,96.738,95.628,94.814,94.617,95.017,94.874,94.000,94.422,92.790,93.369,94.369,92.147,93.320,91.478,90.826
16620,"Charleston, WV (Metropolitan Statistical Area)",89.797,88.715,90.723,92.808,92.251,90.911,91.404,91.187,91.455,89.586,90.270,89.050,86.843,91.009,88.461,88.389
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",97.414,97.317,97.690,99.410,100.314,99.597,99.794,100.023,99.689,99.237,98.329,98.190,98.022,99.186,99.091,100.639
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",95.269,94.021,95.583,95.673,96.121,95.885,96.307,96.176,96.901,96.217,95.549,94.489,94.169,96.630,96.771,96.979
