Jefferson County,
,
Neighborhood,Tract FIPS Code 
Airport,980100
Auburndale,009106
Auburndale,009105
Auburndale,012202
Audubon Park-Camp Taylor-Prestonia,009400
Avondale Melbourne Heights,010902
Bashford Manor,011200
Beckley Station-Old Henry,010316
Beckley Station-Old Henry,010315
Beechmont,004400
Beechmont,004600
Belknap,008900
Bon Air,010901
Bonnycastle,008500
Buechel,011003
Buechel,011005
Buechel,011508
Buechel,011002
California,001700
California,001800
California,002700
Central Business District,004900
Chamberlain-Ford,010311
Chamberlain-Ford,010320
Chamberlain-Ford,010319
Chamberlain-Ford,010314
Cherokee Seneca-Cherokee Gardens-Rockcreek Lexington,008700
Cherokee Triangle,008200
Chickasaw,001100
Chickasaw,001200
Clifton Heights-Brownsboro,007602
Clifton Heights-Brownsboro,007603
Cloverleaf,012301
Commerce Crossings,011712
Commerce Crossings,011713
Cooper Chapel-Cedar Creek,011710
Cooper Chapel-Cedar Creek,011711
Cooper Chapel-Cedar Creek,011709
Cooper Chapel-Cedar Creek,011708
Cooper Chapel-Cedar Creek,011707
Crescent Hill,007601
Crescent Hill,007700
Crescent Hill,007800
Crescent Hill,007900
Deer Park,008400
Eastwood-Long Run,010307
Eastwood-Long Run,011601
Edgewood,011800
Fairdale,012001
Fairdale,012002
Fairdale,012003
Fern Creek,011109
Fern Creek,011110
Fern Creek,011506
Fern Creek,011515
Fern Creek,011516
Fern Creek,011519
Fern Creek,011509
Fisherville,011603
Fisherville,011604
Germantown-Paristown,006300
Germantown-Paristown,006900
Glenview-Harrods Creek-Prospect,010312
Glenview-Harrods Creek-Prospect,007502
Hawthorne,009700
Hayfield Dundee-Gardiner Lane,009600
Hazelwood,004302
Highlands,006400
Highlands Douglass,008800
Highview,011513
Highview,011514
Highview,011505
Highview,011706
Hikes Point,010800
Indian Hills-Mockingbird Valley,007501
Irish Hill-Clifton,008100
Irish Hill-Clifton,007400
Iroquois,004500
Jacobs,004301
J-Town,011102
J-Town,011106
J-Town,011520
J-Town,011517
J-Town,011112
J-Town,010705
J-Town,011518
Kenwood Hill,009000
Klondike,011004
Lyndon,010004
Lyndon,010005
Lyndon,010006
Lyndon,010102
Lyndon,010103
Lyndon,010104
Merriwether-Saint Joe-Fairgrounds,007100
Middletown-Anchorage-Tom Sawyer,010403
Middletown-Anchorage-Tom Sawyer,010402
Middletown-Anchorage-Tom Sawyer,010706
Middletown-Anchorage-Tom Sawyer,010405
Middletown-Anchorage-Tom Sawyer,010406
Minor Lane Heights,011901
Newburg,011404
Newburg,011403
Newburg,011405
Newburg,011406
Newburg,011301
Newburg,011302
Oakdale,003800
Oakdale,004000
Okolona,011907
Okolona,011906
Okolona,011904
Okolona,011905
Old Louisville-Limerick,006600
Old Louisville-Limerick,005100
Old Louisville-Limerick,005200
Oxmoor,010701
Oxmoor,010702
Park DuValle,001400
Park DuValle,001500
Park Hill-Algonquin,001600
Park Hill-Algonquin,002800
Park Hill-Algonquin,003500
Parkland,001000
Phoenix Hill-Nulu-Butchertown,005900
Pleasure Ridge Park,012411
Pleasure Ridge Park,012406
Pleasure Ridge Park,012407
Pleasure Ridge Park,012502
Pleasure Ridge Park,012503
Pleasure Ridge Park,012410
Poplar Level-Audubon,009300
Portland,000200
Portland,000300
Portland,002100
Portland,002300
Riverport,012103
Riverport,012703
Rubbertown,012701
Rubbertown,012702
Russell,000600
Russell,002400
Russell,003000
Schnitzelburg,006800
Schnitzelburg,007000
Seneca Gardens-Strathmoor-Kingsley,013100
Shawnee,000700
Shawnee,000400
Shawnee,000800
Shawnee,000900
Shelby Park,006500
Shively,012501
Shively,012601
Shively,012603
Shively,012604
Shively,012801
Shively,012802
Six Mile,011111
Six Mile,011113
Six Mile,011114
Smoketown,006200
SoBro,005000
South Louisville,003700
Southland Park,009103
Southside,005600
Southwest Dixie,012104
Southwest Dixie,012107
St Andews,012204
St Andews,012302
St. Matthews,010601
St. Matthews,009800
St. Matthews,009900
St. Matthews,010001
St. Matthews,010602
St. Matthews,010500
Taylor Berry,003600
Taylor Berry,003900
Tyler Park,008300
University,005300
Valley Station,012105
Valley Station,012106
Valley Station,012203
Valley Station,012408
Valley Station,012409
Westport-Brownsboro-Summit,010007
Westport-Brownsboro-Summit,010008
Westport-Brownsboro-Summit,010309
Westport-Brownsboro-Summit,010318
Wilder Park,004100
Wolf Creek-Wolf Pen Branch-Norton Commons,010317
Wolf Creek-Wolf Pen Branch-Norton Commons,010313
