tract,neighborhood
18019050706,River Ridge
18019050505,Clarksville West
18019050705,Utica-Port of Indiana
18043071004,Greenville-Galena North
18043070700,West Street-Middle State Street
18043070301,Slate Run-Old Ford
18043070400,Midtown-East Spring
18043071003,Floyds Knobs North
18043070302,Uptown-Silver Grove
18043070801,State Street North-Binford Park
18043070600,Silver Hills-New Albany West
18043070500,New Albany Downtown-West End
18043070200,East End-Bicknell Park-Loop Island
18043070802,Benn Heights-Indian Heights
18043070901,Klerner Lane-McDonald Lane
18061060500,Lanesville-New Middletown
18043070902,Fairmont-Silver Street Park
18043071101,Georgetown Downtown
18043071200,South Floyd-Franklin Township
18043071007,New Albany Northwest-IU Southeast
18043071103,Floyds Knobs South
18043071006,Charlestown Crossing-Carriage House
18061060100,Palmyra-Milltown
18061060300,West Central Harrison
18061060201,Crandall
18061060202,New Salisbury
18061060602,Southwest Harrison
18061060401,Corydon
18061060402,Harrison Township Southeast
18061060601,Southeast Harrison
18019050305,Arctic Springs-Ewing Lane
18019050504,Broadway-Veterans Parkway
18019050303,Jeffersonville Midtown West
18019051000,New Washington
18019050200,Claysburg-Quartermaster
18019050902,Charlestown East
18019050100,Jeffersonville Downtown-Big Four Station
18019050801,Borden-West Clark
18019050404,Beechwood Manor-Lincoln Heights
18019050605,Golfview Estates-Hidden Lakes-Meadows
18019050703,Sellersburg South
18019050904,Charlestown West
18019050803,Memphis-Perry Crossing
18019050804,Henryville
18019050704,Sellersburg North
18019050903,Charlestown Central
18019050606,Bonenberger-Country Club Estates-Foxboro
18019050403,Gateway Crossing-Little League Park
18043071104,Georgetown East-Edwardsville
18043071005,Chapel Creek-Cobblers Crossing
18019050304,Jeffersonville Midtown Central
18019050306,Port Fulton-Franklin Commons
18019050401,Clarksville South-Old Clarksville
18019050503,Blackiston View-Parkwood
18019050603,Jeffersonville Midtown East-Vissing Park
18019050604,Oak Park
21211040302,Shelbyville Downtown
21185030301,La Grange Northwest
21111010313,Norton Commons-Wolf Pen Branch
21111010406,Middletown North-Anchorage-Berrytown
21111010319,Worthington
21111010315,Beckley Station-Old Henry
21111010316,Beckley Station-Old Henry
21111011604,Seatonville-Ashville
21111011710,McNeely Lake West
21211040403,Shelbyville East
21185030200,Kentucky State Reformatory
21185030100,North Oldham-Westport
21185030801,River Bluff-West Oldham
21185030501,Crestwood South-Pewee Valley South
21185030601,Crestwood West-Orchard Grass Hills
21185030502,South Central Oldham
21185030802,Goshen
21185030602,Crestwood East-Park Lake
21111011708,Cedar Creek
21111011518,Chenoweth Run-Old Heady
21111010702,St. Regis Park-Hurstbourne Acres
21111009900,St. Matthews North-Beechwood Village
21211040102,Bagdad-Northeast Shelby
21211040501,Finchville-Southwest Shelby
21211040402,Shelbyville South-South Central Shelby
21211040101,Waddy-Southeast Shelby
21111010706,Douglass Hills
21111011301,Watterson Park-Poplar Hills
21111011403,Edgewood-Lynnview
21111011404,Watterson Park-Poplar Hills
21111011506,Fern Creek Northeast-Fairground Road
21111010102,Ormsby Village-Shelbyhurst
21111010309,Springhurst
21111010403,Middletown North-Anchorage-Berrytown
21029020602,Hebron Estates-Fox Chase-Hillview South
21029020101,Mount Washington Central
21111011405,Newburg West-Indian Trail
21111011406,Newburg South-Fern Valley
21111010800,Hikes Point
21111010901,Bon Air
21111010902,Avondale-Melbourne Heights
21111011003,Buechel
21111010500,St. Matthews Southwest-Broad Fields
21111010701,Oxmoor-Hurstbourne
21111011202,Bashford Manor
21111011201,Bashford Manor
21111011117,J-Town-Stony Brook North
21111011115,J-Town-Forest Hills
21111011116,J-Town East-Blankenbaker-Tucker Station
21111011008,Klondike
21111005902,Butchertown-Phoenix Hill
21111011006,West Buechel
21111011605,English Station-Eastwood
21111010407,Middletown South
21111010708,J-Town North
21111011606,English Station-Eastwood
21111011009,Klondike
21111011007,Appliance Park
21111011521,Highview Northwest-Fern Valley-Spring Mill
21111010408,Middletown South
21111010707,J-Town North
21111011901,Minor Lane
21111010008,Goose Creek
21111012703,Riverport-Greenwood
21111000600,Russell
21111012203,Waverly Hills
21111005000,SoBro
21111010005,Lyndon North-Keeneland
21111011005,Buechel
21111012001,Fairdale South-Hollyvilla
21111012104,Southwest Dixie-Valley Village
21111012204,St. Andrews
21111011522,Highview Northwest-Fern Valley-Spring Mill
21111011909,Okolona Southwest-South Park
21111012005,Fairdale North
21111010321,Flat Rock-Long Run
21111010324,Worthington Hills-Coldstream
21111011118,J-Town-Stony Brook Central
21111010322,Flat Rock-Long Run
21111007101,Wilder Park-Fairgrounds
21111010323,Worthington Hills-Coldstream
21111012004,Fairdale North
21111012109,Valley Station-Prairie Village
21111007700,Crescent Hill
21111008201,Cherokee Triangle
21111009402,Camp Taylor-Zoo
21111009401,Audobon Park-Prestonia
21111007102,Meriwether-Saint Joseph
21111012606,Shively North-Farnsley
21111012412,PRP Northwest-Rockford
21111012413,PRP West Central
21111008202,Cherokee Triangle
21111012108,Valley Station Southwest-Bethany
21111000202,Portland
21111000201,Portland
21111002402,Russell
21111003502,Algonquin-Park Hill
21111003501,University
21111012604,St. Dennis
21111000300,Portland
21111000400,Shawnee
21111000700,Shawnee
21111000800,Shawnee
21111000900,Shawnee
21111009001,Kenwood Hill
21111012605,Shively North-Farnsley
21111002401,Russell
21111009002,Kenwood Hill
21111011908,Okolona Southwest-South Park
21111005901,Butchertown-Phoenix Hill
21111001100,Chickasaw
21111001200,Chickasaw
21111001400,Park DuValle
21111001500,Park DuValle
21111001600,Algonquin-Park Hill
21111001800,California
21111002100,Portland
21111002300,Portland
21111002700,California
21111002800,Algonquin-Park Hill
21111003000,Russell
21111003600,Taylor Berry
21111003800,Oakdale-Wyandotte
21111003900,Taylor Berry
21111004000,Oakdale-Wyandotte
21111011711,McNeely Lake West
21111010314,Chamberlain-Ford
21111009105,Southland Park
21111009106,Auburndale East
21111011113,Six Mile-Breckenridge
21111011709,McNeely Lake East-Heritage Creek
21111011712,Commerce Crossings-Mud Lane
21111010317,Green Spring-Barbour Lane
21111010318,Barbourmeade-Brownsboro Farm
21111011112,J-Town-Stony Brook North
21111010320,Fincastle
21111010601,St. Matthews South-Browns Lane
21111011713,Commerce Crossings-Mud Lane
21185030701,West Central Oldham
