tract,Market Area
21111000200,Northwest Core
21111000300,Northwest Core
21111000400,Northwest Core
21111000600,Northwest Core
21111000700,Northwest Core
21111000800,Northwest Core
21111000900,Northwest Core
21111001000,West Core
21111001100,West Core
21111001200,West Core
21111001400,West Core
21111001500,West Core
21111001600,West Core
21111001700,West Core
21111001800,West Core
21111002100,Northwest Core
21111002300,Northwest Core
21111002400,Northwest Core
21111002700,West Core
21111002800,West Core
21111003000,Northwest Core
21111003500,West Core
21111003600,Southwest Core
21111003700,University
21111003800,Southwest Core
21111003900,Southwest Core
21111004000,Southwest Core
21111004100,Southwest Core
21111004301,Southwest Core
21111004302,Iroquois Park
21111004400,Iroquois Park
21111004500,Iroquois Park
21111004600,Iroquois Park
21111004900,Downtown
21111005000,Downtown
21111005100,University
21111005200,University
21111005300,University
21111005600,Airport
21111005900,Downtown
21111006200,Downtown
21111006300,Southeast Core
21111006400,Southeast Core
21111006500,University
21111006600,University
21111006800,Southeast Core
21111006900,Southeast Core
21111007000,Southeast Core
21111007100,University
21111007400,Northeast Core
21111007501,East Core
21111007502,Northeast Metro
21111007601,Northeast Core
21111007602,Northeast Core
21111007603,Northeast Core
21111007700,East Core
21111007800,East Core
21111007900,Northeast Core
21111008100,Northeast Core
21111008200,Southeast Core
21111008300,Southeast Core
21111008400,Southeast Core
21111008500,Southeast Core
21111008700,East Core
21111008800,Southeast Core
21111008900,Southeast Core
21111009000,Iroquois Park
21111009103,Airport
21111009105,Iroquois Park
21111009106,Iroquois Park
21111009300,Southeast Core
21111009400,Southeast Core
21111009600,Southeast Core
21111009700,Southeast Core
21111009800,East Core
21111009900,East Core
21111010001,East Core
21111010004,East Metro
21111010005,East Metro
21111010006,East Metro
21111010007,East Metro
21111010008,East Metro
21111010102,East Metro
21111010103,East Metro
21111010104,East Metro
21111010307,North Floyd's Fork
21111010309,East Metro
21111010311,North Floyd's Fork
21111010312,Northeast Metro
21111010313,Northeast Metro
21111010314,North Floyd's Fork
21111010315,North Floyd's Fork
21111010316,North Floyd's Fork
21111010317,Northeast Metro
21111010318,East Metro
21111010319,North Floyd's Fork
21111010320,North Floyd's Fork
21111010402,East Metro
21111010403,East Metro
21111010405,East Metro
21111010406,East Metro
21111010500,East Core
21111010601,East Core
21111010602,East Core
21111010701,East Metro
21111010702,Central Taylorsville
21111010705,East Metro
21111010706,East Metro
21111010800,Central Taylorsville
21111010901,Central Bardstown
21111010902,Central Taylorsville
21111011002,Central Bardstown
21111011003,Central Bardstown
21111011004,Central Bardstown
21111011005,Central Bardstown
21111011102,Central Taylorsville
21111011106,Central Taylorsville
21111011109,Central Bardstown
21111011110,Central Bardstown
21111011111,Central Taylorsville
21111011112,Central Taylorsville
21111011113,Central Bardstown
21111011114,Central Bardstown
21111011200,Central Bardstown
21111011301,Central Bardstown
21111011302,Central Bardstown
21111011403,Central Preston
21111011404,Central Preston
21111011405,Central Preston
21111011406,Central Preston
21111011505,Central Preston
21111011506,Central Bardstown
21111011508,Central Bardstown
21111011509,Central Bardstown
21111011513,Central Preston
21111011514,Central Preston
21111011515,Central Bardstown
21111011516,Central Bardstown
21111011517,Central Taylorsville
21111011518,Central Taylorsville
21111011519,Central Bardstown
21111011520,Central Taylorsville
21111011601,Parklands of Floyd's Fork
21111011603,Parklands of Floyd's Fork
21111011604,Parklands of Floyd's Fork
21111011706,Central Preston
21111011707,McNeely Lake
21111011708,McNeely Lake
21111011709,McNeely Lake
21111011710,McNeely Lake
21111011711,McNeely Lake
21111011712,McNeely Lake
21111011713,McNeely Lake
21111011800,Central Preston
21111011901,Airport
21111011904,Central Preston
21111011905,Central Preston
21111011906,Central Preston
21111011907,Central Preston
21111012001,Jefferson Forest
21111012002,Jefferson Forest
21111012003,Jefferson Forest
21111012103,Riverport
21111012104,Jefferson Forest
21111012105,South-Central Dixie
21111012106,South-Central Dixie
21111012107,Jefferson Forest
21111012202,Iroquois Park
21111012203,South-Central Dixie
21111012204,Iroquois Park
21111012301,Iroquois Park
21111012302,Iroquois Park
21111012406,South-Central Dixie
21111012407,South-Central Dixie
21111012408,South-Central Dixie
21111012409,South-Central Dixie
21111012410,South-Central Dixie
21111012411,South-Central Dixie
21111012501,Southwest Core
21111012502,South-Central Dixie
21111012503,South-Central Dixie
21111012601,Southwest Core
21111012603,Southwest Core
21111012604,Southwest Core
21111012701,Riverport
21111012702,Riverport
21111012703,Riverport
21111012801,Southwest Core
21111012802,Southwest Core
21111013100,Southeast Core
21111980100,Airport
