GEO_ID,neighborhood
1400000US21111000200,Portland
1400000US21111000300,Portland
1400000US21111000400,Chickasaw-Shawnee
1400000US21111000600,Russell
1400000US21111000700,Chickasaw-Shawnee
1400000US21111000800,Chickasaw-Shawnee
1400000US21111000900,Chickasaw-Shawnee
1400000US21111001000,California-Parkland
1400000US21111001100,Chickasaw-Shawnee
1400000US21111001200,Chickasaw-Shawnee
1400000US21111001400,Algonquin-Park Hill-Park Duvalle
1400000US21111001500,Algonquin-Park Hill-Park Duvalle
1400000US21111001600,Algonquin-Park Hill-Park Duvalle
1400000US21111001700,California-Parkland
1400000US21111001800,California-Parkland
1400000US21111002100,Portland
1400000US21111002300,Portland
1400000US21111002400,Russell
1400000US21111002700,California-Parkland
1400000US21111002800,Algonquin-Park Hill-Park Duvalle
1400000US21111003000,Russell
1400000US21111003500,Algonquin-Park Hill-Park Duvalle
1400000US21111003600,South Central Louisville
1400000US21111003700,South Central Louisville
1400000US21111003800,South Central Louisville
1400000US21111003900,South Central Louisville
1400000US21111004000,South Central Louisville
1400000US21111004100,South Central Louisville
1400000US21111004301,South Central Louisville
1400000US21111004302,South Louisville
1400000US21111004400,South Louisville
1400000US21111004500,South Louisville
1400000US21111004600,South Louisville
1400000US21111004900,Downtown-Old Louisville-University
1400000US21111005000,Downtown-Old Louisville-University
1400000US21111005100,Downtown-Old Louisville-University
1400000US21111005200,Downtown-Old Louisville-University
1400000US21111005300,Downtown-Old Louisville-University
1400000US21111005600,South Louisville
1400000US21111005900,Phoenix Hill-Smoketown-Shelby Park
1400000US21111006200,Phoenix Hill-Smoketown-Shelby Park
1400000US21111006300,Germantown
1400000US21111006400,Highlands
1400000US21111006500,Phoenix Hill-Smoketown-Shelby Park
1400000US21111006600,Downtown-Old Louisville-University
1400000US21111006800,Germantown
1400000US21111006900,Germantown
1400000US21111007000,Germantown
1400000US21111007100,Germantown
1400000US21111007400,Butchertown-Clifton-Crescent Hill
1400000US21111007501,Northeast Jefferson
1400000US21111007502,Northeast Jefferson
1400000US21111007601,Butchertown-Clifton-Crescent Hill
1400000US21111007602,Butchertown-Clifton-Crescent Hill
1400000US21111007603,Butchertown-Clifton-Crescent Hill
1400000US21111007700,Butchertown-Clifton-Crescent Hill
1400000US21111007800,Butchertown-Clifton-Crescent Hill
1400000US21111007900,Butchertown-Clifton-Crescent Hill
1400000US21111008100,Butchertown-Clifton-Crescent Hill
1400000US21111008200,Highlands
1400000US21111008300,Highlands
1400000US21111008400,Highlands
1400000US21111008500,Highlands
1400000US21111008700,Highlands
1400000US21111008800,Highlands
1400000US21111008900,Southeast Louisville
1400000US21111009000,South Louisville
1400000US21111009103,South Louisville
1400000US21111009105,South Louisville
1400000US21111009106,South Louisville
1400000US21111009300,Southeast Louisville
1400000US21111009400,Southeast Louisville
1400000US21111009600,Southeast Louisville
1400000US21111009700,Southeast Louisville
1400000US21111009800,St. Matthews
1400000US21111009900,St. Matthews
1400000US21111010001,St. Matthews
1400000US21111010004,Northeast Jefferson
1400000US21111010005,Northeast Jefferson
