tract,west_lou
21111000201,1
21111000202,1
21111000300,1
21111000400,1
21111000600,1
21111000700,1
21111000800,1
21111000900,1
21111001000,1
21111001100,1
21111001200,1
21111001400,1
21111001500,1
21111001600,1
21111001700,1
21111001800,1
21111002100,1
21111002300,1
21111002401,1
21111002402,1
21111002700,1
21111002800,1
21111003000,1
21111003501,1
21111003502,1
21111003600,0
21111003700,0
21111003800,0
21111003900,0
21111004000,0
21111004100,0
21111004301,0
21111004302,0
21111004400,0
21111004500,0
21111004600,0
21111004900,0
21111005000,0
21111005100,0
21111005200,0
21111005300,0
21111005600,0
21111005901,0
21111005902,0
21111006200,0
21111006300,0
21111006400,0
21111006500,0
21111006600,0
21111006800,0
21111006900,0
21111007000,0
21111007101,0
21111007102,0
21111007400,0
21111007501,0
21111007502,0
21111007601,0
21111007602,0
21111007603,0
21111007700,0
21111007800,0
21111007900,0
21111008100,0
21111008201,0
21111008202,0
21111008300,0
21111008400,0
21111008500,0
21111008700,0
21111008800,0
21111008900,0
21111009001,0
21111009002,0
21111009103,0
21111009105,0
21111009106,0
21111009300,0
21111009401,0
21111009402,0
21111009600,0
21111009700,0
21111009800,0
21111009900,0
21111010001,0
21111010004,0
21111010005,0
21111010006,0
21111010007,0
21111010008,0
21111010102,0
21111010103,0
21111010104,0
21111010309,0
21111010312,0
21111010313,0
21111010314,0
21111010315,0
21111010316,0
21111010317,0
21111010318,0
21111010319,0
21111010320,0
21111010321,0
21111010322,0
21111010323,0
21111010324,0
21111010403,0
21111010405,0
21111010406,0
21111010407,0
21111010408,0
21111010500,0
21111010601,0
21111010602,0
21111010701,0
21111010702,0
21111010706,0
21111010707,0
21111010708,0
21111010800,0
21111010901,0
21111010902,0
21111011003,0
21111011005,0
21111011006,0
21111011007,0
21111011008,0
21111011009,0
21111011109,0
21111011110,0
21111011111,0
21111011112,0
21111011113,0
21111011114,0
21111011115,0
21111011116,0
21111011117,0
21111011118,0
21111011201,0
21111011202,0
21111011301,0
21111011302,0
21111011403,0
21111011404,0
21111011405,0
21111011406,0
21111011506,0
21111011508,0
21111011509,0
21111011513,0
21111011514,0
21111011515,0
21111011516,0
21111011517,0
21111011518,0
21111011519,0
21111011520,0
21111011521,0
21111011522,0
21111011603,0
21111011604,0
21111011605,0
21111011606,0
21111011706,0
21111011707,0
21111011708,0
21111011709,0
21111011710,0
21111011711,0
21111011712,0
21111011713,0
21111011800,0
21111011901,0
21111011904,0
21111011906,0
21111011907,0
21111011908,0
21111011909,0
21111012001,0
21111012003,0
21111012004,0
21111012005,0
21111012103,0
21111012104,0
21111012105,0
21111012107,0
21111012108,0
21111012109,0
21111012203,0
21111012204,0
21111012205,0
21111012206,0
21111012301,0
21111012302,0
21111012406,0
21111012407,0
21111012408,0
21111012409,0
21111012410,0
21111012412,0
21111012413,0
21111012501,0
21111012502,0
21111012503,0
21111012603,0
21111012604,0
21111012605,0
21111012606,0
21111012701,0
21111012702,0
21111012703,0
21111012801,0
21111012802,0
21111013100,0
21111980100,0
