population,FIPS,year
657422,1073,1999
738483,12031,1999
810946,18097,1999
672900,21111,1999
550388,26081,1999
654484,29095,1999
996181,29189,1999
333960,29510,1999
446277,31055,1999
391380,37081,1999
648400,37119,1999
586940,37183,1999
1027821,39049,1999
840443,39061,1999
565866,39113,1999
636539,40109,1999
548296,40143,1999
358936,45045,1999
530050,47037,1999
376039,47093,1999
873000,47157,1999
189700,51760,1999
662033,1073,2000
779800,12031,2000
860832,18097,2000
694399,21111,2000
576178,26081,2000
655709,29095,2000
1016178,29189,2000
347144,29510,2000
464701,31055,2000
422324,37081,2000
700458,37119,2000
633267,37183,2000
1072018,39049,2000
844124,39061,2000
558522,39113,2000
661769,40109,2000
563748,40143,2000
380949,45045,2000
570439,47037,2000
382887,47093,2000
898211,47157,2000
196782,51760,2000
660197,1073,2001
790681,12031,2001
865662,18097,2001
697159,21111,2001
581224,26081,2001
657012,29095,2001
1016243,29189,2001
343243,29510,2001
468125,31055,2001
428381,37081,2001
720171,37119,2001
656819,37183,2001
1082938,39049,2001
840335,39061,2001
555536,39113,2001
664836,40109,2001
566175,40143,2001
385780,45045,2001
574119,47037,2001
385823,47093,2001
899345,47157,2001
197575,51760,2001
657518,1073,2002
800532,12031,2002
866210,18097,2002
699810,21111,2002
584940,26081,2002
658765,29095,2002
1014359,29189,2002
338457,29510,2002
471866,31055,2002
432068,37081,2002
736422,37119,2002
676392,37183,2002
1088693,39049,2002
832390,39061,2002
553170,39113,2002
671120,40109,2002
569170,40143,2002
390197,45045,2002
574215,47037,2002
389443,47093,2002
902634,47157,2002
197513,51760,2002
657513,1073,2003
809633,12031,2003
868576,18097,2003
703970,21111,2003
587790,26081,2003
658914,29095,2003
1011678,29189,2003
334893,29510,2003
476701,31055,2003
436327,37081,2003
753991,37119,2003
695746,37183,2003
1095250,39049,2003
825139,39061,2003
551742,39113,2003
674571,40109,2003
568406,40143,2003
394242,45045,2003
577231,47037,2003
394263,47093,2003
906733,47157,2003
197306,51760,2003
656023,1073,2004
820070,12031,2004
870378,18097,2004
706828,21111,2004
589554,26081,2004
658307,29095,2004
1007813,29189,2004
330988,29510,2004
482075,31055,2004
440597,37081,2004
772949,37119,2004
716336,37183,2004
1099603,39049,2004
817306,39061,2004
549713,39113,2004
