RPP2 Regional Price Parities by MSA and state portion,,,,,,,,,,,
 ,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015
999,United States (Nonmetropolitan Portion)2/,1,RPPs: All items,86.6,86.8,87.3,87.5,87.8,88.2,88,87.8
999,United States (Nonmetropolitan Portion)2/,2,  RPPs: Goods,94.3,94.4,94.1,93.9,93.9,93.8,93.8,93.9
999,United States (Nonmetropolitan Portion)2/,3,  RPPs: Services: Rents,63.4,63.3,62.7,63.1,63.5,63.8,64.2,64.1
999,United States (Nonmetropolitan Portion)2/,4,  RPPs: Services: Other,92.1,91.8,91.9,92.4,92.9,93.9,93.8,93.7
10180,"Abilene, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.4,89.8,90.4,90.8,91.4,90.9,91.4,91
10180,"Abilene, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,98.1,98.1,97.2,97,97,96.8,96.8,96.7
10180,"Abilene, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,73.4,72.1,72.8,74.6,77.1,75.7,77.8,77
10180,"Abilene, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.6,94.3,94,94.1,94.2,94,94,94
10420,"Akron, OH (Metropolitan Statistical Area)",1,RPPs: All items,89.4,88.5,88.5,89,88.8,89.6,89.5,89.7
10420,"Akron, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,94.3,93.9,94,95.1,94.6,95.3,95.3,95.4
10420,"Akron, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,81.9,79.3,77.9,77.6,77.7,78.2,78,77.9
10420,"Akron, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,88.1,87.9,88.1,88.4,88.5,89.6,89.7,89.7
10500,"Albany, GA (Metropolitan Statistical Area)",1,RPPs: All items,83.3,83.6,84.2,84.6,84.6,84.4,83.8,83.8
10500,"Albany, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,98,98,97.1,96.9,96.8,96.7,96.7,96.6
10500,"Albany, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,54.7,56,54.3,56.3,56.3,55.8,55,55.7
10500,"Albany, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.5,94.2,93.9,94.1,94.2,94.1,94,94
10540,"Albany, OR (Metropolitan Statistical Area)",1,RPPs: All items,96.5,96,95.2,93.8,93.1,93.7,94.4,93.6
10540,"Albany, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,99.8,99.1,99.3,98.9,98.7,98.8,98.7,98.7
10540,"Albany, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,88.2,90.4,88.3,85.3,84.3,85.3,88.4,85.7
10540,"Albany, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.8,95.8,94.8,93.9,93.4,94.2,94.1,93.8
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,RPPs: All items,100.1,99.6,98.6,98.6,99.1,99.6,99.6,99.7
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,98.4,98.2,97.9,97.7,97.9,98.1,98.1,98
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,105.7,104.1,101.7,102.6,104.3,104.4,104.6,105.1
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,99.3,98.8,97.9,97.7,98,98.8,98.7,98.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,RPPs: All items,96.1,97,97,97.3,97.2,97.4,97.4,97.4
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,  RPPs: Goods,95.9,96.7,97.1,97.6,97,96.4,96.3,96.3
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,94.1,93.9,91.4,90.6,90.4,90.8,91.4,91.6
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.6,99.3,100.2,100.7,101.3,102.7,102.7,102.7
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,RPPs: All items,87.8,86.7,86.9,86.4,87.7,87.9,88.6,88.3
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,98.3,98.2,97.4,97.1,97.1,97,97,96.9
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,63.7,62,59.8,58.8,63,64.7,67.2,66.7
10780,"Alexandria, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.8,94.4,94.1,94.2,94.2,94,94,94
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,RPPs: All items,100.6,100.6,100.1,100,99.9,100.4,100.5,100.4
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,98.7,98.4,98.2,98.2,98.4,98.7,98.7,98.6
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,102.6,103.7,102.1,102.1,101,102,102.7,102.1
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,101.8,101.5,101,100.9,101.1,101.4,101.4,101.3
11020,"Altoona, PA (Metropolitan Statistical Area)",1,RPPs: All items,89.7,89.5,89.9,90.7,91.6,90.4,90,89.5
11020,"Altoona, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,98.4,98.2,97.9,97.7,97.9,98.1,98.1,98
11020,"Altoona, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,63.2,63.7,62.9,64.8,68.3,63.8,63.7,62.4
11020,"Altoona, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,99.3,98.8,97.9,97.7,98,98.8,98.7,98.6
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,RPPs: All items,94.6,94,93,92.8,93,93.1,92.9,93
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,98.4,98.4,97.6,97.4,97.4,97.3,97.2,97.2
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.9,84.1,81.9,81.1,82.3,83,82.7,83.6
11100,"Amarillo, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,95,94.6,94.2,94.3,94.3,94,94,94
11180,"Ames, IA (Metropolitan Statistical Area)",1,RPPs: All items,89,89.8,89.7,89.9,89.7,90.2,90.7,91.3
11180,"Ames, IA (Metropolitan Statistical Area)",2,  RPPs: Goods,89.1,89.6,90,91.3,92.1,92.5,92.5,92.6
11180,"Ames, IA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,91.8,93.6,91.6,89.4,87,87.7,89.4,91.3
11180,"Ames, IA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,86.9,87.4,87.8,88.7,89.2,89.6,89.6,89.6
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,RPPs: All items,111.5,111.4,110.2,109.4,108.4,108.4,109.2,109.4
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,  RPPs: Goods,104.8,105.4,105.2,104.4,102.8,102.3,102.4,102.4
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,143.4,142,136.1,138.7,141.1,144.2,147.7,146.6
11260,"Anchorage, AK (Metropolitan Statistical Area)",4,  RPPs: Services: Other,104.8,105.2,104.6,102.9,101.5,100.7,100.8,100.7
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,RPPs: All items,103.4,102.9,102.2,102.1,101.7,101.5,101.8,101.9
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,98.9,99.4,99.4,99.5,99.1,99,98.9,98.8
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,120.2,116.2,112.4,112,112.5,113.4,113.8,113.8
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.3,101.9,100.8,100.7,100,99.5,99.5,99.6
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",1,RPPs: All items,85.6,83.8,83.5,83.7,85,85.1,84.2,84.1
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,98.6,98.6,97.8,97.6,97.6,97.5,97.5,97.4
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,57.1,53.8,50.2,50.4,53.3,54.2,52.5,52.8
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,95.2,94.8,94.3,94.4,94.4,94,93.9,93.9
11540,"Appleton, WI (Metropolitan Statistical Area)",1,RPPs: All items,93.4,92.9,92.8,93.2,93.4,93,92.4,92.4
11540,"Appleton, WI (Metropolitan Statistical Area)",2,  RPPs: Goods,96.4,97.1,97.2,97.5,97.7,97.8,97.8,97.7
11540,"Appleton, WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,81.2,78.9,78.5,80,81.2,80.6,78.5,78.7
11540,"Appleton, WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,95.7,95,94.6,94.7,94.4,93.6,93.7,93.7
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,93,93.1,92.5,92.2,92.2,92.6,93.2,93
11700,"Asheville, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3,97.3,96.4,96,95.9,95.7,95.7,95.7
11700,"Asheville, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.5,86,85.2,84.4,84.3,85.7,88.1,87.7
